gene,log2FC,p_value,t_statistic,mean_ALS,mean_Control,n_ALS,n_Control,adj_p_value,significant,neg_log10_pval,dataset,description
GENE_00000,-0.05876108461735334,0.9435635166084564,-0.0719181672002577,640.945606000681,667.5903089405575,9,9,0.9849306018877416,False,0.025228859691850493,GSE76253,Frontal cortex - ALS vs controls
GENE_00001,-0.17777432096369908,0.8742965266970683,-0.1612591201623165,566.3057782779251,640.5697059786937,9,9,0.9611303458188017,False,0.0583412469224775,GSE76253,Frontal cortex - ALS vs controls
GENE_00002,-0.1728201684432463,0.78028521437843,-0.2843782914573974,401.5412787544554,452.64137801603937,9,9,0.9237893106809236,False,0.10774662245098757,GSE76253,Frontal cortex - ALS vs controls
GENE_00003,-0.8617507089654695,0.1789714057984551,-1.4304908827271212,572.9209955592953,1041.1362073680166,9,9,0.8050296958245977,False,0.7472163505615966,GSE76253,Frontal cortex - ALS vs controls
GENE_00004,-0.2100159280557051,0.7917040675359697,-0.2685735791440132,618.7013351299385,715.6524248188329,9,9,0.9275074871402884,False,0.10143712378090343,GSE76253,Frontal cortex - ALS vs controls
GENE_00005,1.383859100139544,0.3085501485453945,1.0825518980039568,1171.0974990783207,448.75567589645766,9,9,0.8050296958245977,False,0.5106742401670162,GSE76253,Frontal cortex - ALS vs controls
GENE_00006,-0.5975168057765204,0.5614065559809229,-0.6009386506677046,1173.8151114803231,1776.1113013806414,9,9,0.8408408567133462,False,0.25072252007757967,GSE76253,Frontal cortex - ALS vs controls
GENE_00007,-1.3654446063578238,0.16103100479878232,-1.5104906285024895,300.6253817879638,774.5784841316275,9,9,0.8050296958245977,False,0.7930904971566655,GSE76253,Frontal cortex - ALS vs controls
GENE_00008,0.24803029258811662,0.7780222943634035,0.290171992226225,744.5886491449569,626.9773522014087,9,9,0.9237893106809236,False,0.10900795804851401,GSE76253,Frontal cortex - ALS vs controls
GENE_00009,-1.6950680283656805,0.22143701066454533,-1.3209756833441522,673.1218458509613,2179.5157253903267,9,9,0.8050296958245977,False,0.6547497900333773,GSE76253,Frontal cortex - ALS vs controls
GENE_00010,-0.3819007680968225,0.45767068172866665,-0.7632292187894614,391.6451144008472,510.3361110877038,9,9,0.8135330879751551,False,0.3394469074793624,GSE76253,Frontal cortex - ALS vs controls
