gene,log2FC,p_value,t_statistic,mean_ALS,mean_Control,adj_p_value,neg_log10_pval,dataset,description,n_ALS,n_Control,significant
Gene_0,0.038627515592973,0.5942416284976778,0.5329309047133901,0.0075420744129755,-0.0310854411799975,0.9907071470529124,0.2260369277703718,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_1,0.0448712848218104,0.5341287694378833,0.6220075238054605,0.1212686034033277,0.0763973185815173,0.9907071470529124,0.2723540292736544,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_2,0.0418634864088999,0.5651781447347468,0.5754263587342654,0.041575004291465,-0.0002884821174349,0.9907071470529124,0.2478146405329918,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_3,0.013793919569244,0.8493500315139623,0.1900143946132202,0.0268129025644635,0.0130189829952195,0.9907071470529124,0.0709132927638634,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_4,-0.0759554485245683,0.3148083163234847,-1.0058679764813234,-0.0228457020710398,0.0531097464535284,0.9907071470529124,0.5019538033596918,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_5,0.0125104945189901,0.8653826929507191,0.1695853021236617,-0.1028724213838059,-0.115382915902796,0.9907071470529124,0.0627917946366718,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_6,-0.0386240609144253,0.5934065531707384,-0.5341382102675496,-0.0144669414090912,0.024157119505334,0.9907071470529124,0.2266476619454055,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_7,0.0769970034059939,0.2998731702384974,1.0374335662105898,-0.0423757494031502,-0.1193727528091441,0.9907071470529124,0.5230623889874249,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_8,0.1185896460177999,0.1099312290569576,1.6004271915864186,0.0544757187806133,-0.0641139272371865,0.9856218091694384,0.9588789164890724,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_9,-0.0385800073560776,0.6200719534324945,-0.4959573680944836,-0.0192517804676151,0.0193282268884624,0.9907071470529124,0.2075579118476439,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_10,-0.0360818602639216,0.6354473010077241,-0.4742702548505482,-0.0306412093288496,0.0054406509350719,0.9907071470529124,0.1969204605789736,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_11,0.0245642244225155,0.744259571053808,0.3263399366516592,0.0506875996387728,0.0261233752162573,0.9907071470529124,0.1282755716908073,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_12,0.0058730111344999,0.9344689127914528,0.082251601340537,0.0108223490257172,0.0049493378912172,0.9989564535601106,0.0294351418268269,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_13,-0.0239151707584467,0.7325803749311351,-0.3418242022980928,-0.034723822890233,-0.0108086521317863,0.9907071470529124,0.1351447198146296,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_14,0.0007902830162486,0.9910987332616016,0.0111600900972681,-0.0531480226241566,-0.0539383056404053,0.999297494542208,0.0038830789407546,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_15,-0.0666532849974289,0.3749895331422808,-0.8877026594840055,-0.020451596297894,0.0462016886995349,0.9907071470529124,0.4259808543042556,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_16,0.0553433817879937,0.4348746436803534,0.781302800495343,0.014681007135849,-0.0406623746521446,0.9907071470529124,0.361635914088493,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_17,-0.0828129140447584,0.271658097968558,-1.1000739947589295,0.0209307954262096,0.1037437094709681,0.9907071470529124,0.5659773443735312,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_18,0.0030839538077495,0.967215878289002,0.041114301597169,0.0289281157934811,0.0258441619857315,0.999297494542208,0.0144765824980988,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_19,0.0445754385051577,0.5546513210726656,0.591074380077203,0.0321864909294682,-0.0123889475756895,0.9907071470529124,0.2559799482679425,GSE112676,iPSC motor neurons from ALS patients,,,
Gene_20,0.0294590743259455,0.6890921836003971,0.4002444026162763,0.0254978574972126,-0.0039612168287328,0.9907071470529124,0.1617226762766747,GSE112676,iPSC motor neurons from ALS patients,,,
