from	to	score	weight
ACTG1	PFN1	0.992	0.992
ACTG1	CASP3	0.922	0.922
ACTG1	HSPA5	0.475	0.475
ACTG1	TUBB	0.773	0.773
ACTG1	DCTN2	0.58	0.58
ALYREF	NUP107	0.647	0.647
ALYREF	NUP155	0.649	0.649
ALYREF	NUP85	0.589	0.589
ALYREF	FUS	0.453	0.453
ALYREF	NUP210	0.543	0.543
ALYREF	NUP54	0.6	0.6
ALYREF	NUP205	0.578	0.578
ALYREF	NUP35	0.563	0.563
ALYREF	GLE1	0.842	0.842
ALYREF	NUP98	0.74	0.74
ALYREF	SRSF7	0.958	0.958
ALYREF	NUP43	0.597	0.597
ALYREF	NUP50	0.672	0.672
ALYREF	HNRNPA2B1	0.877	0.877
ALYREF	NUP188	0.509	0.509
ALYREF	SRSF3	0.95	0.95
ALYREF	NUP160	0.592	0.592
ALYREF	SEC13	0.543	0.543
ALYREF	SQSTM1	0.414	0.414
ALYREF	NUP37	0.622	0.622
ALYREF	NUP88	0.625	0.625
ALYREF	NUP62	0.677	0.677
ALYREF	NUP153	0.708	0.708
ANXA11	FUS	0.409	0.409
ANXA11	ANXA7	0.92	0.92
ANXA7	TP53	0.409	0.409
ANXA7	BCL2	0.483	0.483
ANXA11	ANXA7	0.92	0.92
APAF1	TP53	0.974	0.974
APAF1	CASP3	0.999	0.999
APAF1	CYC1	0.68	0.68
APAF1	BID	0.61	0.61
APAF1	HSPA5	0.475	0.475
APAF1	HNRNPA2B1	0.466	0.466
APAF1	MAP3K5	0.458	0.458
APAF1	GPX7	0.444	0.444
APAF1	BCL2L1	0.996	0.996
APAF1	SQSTM1	0.47	0.47
APAF1	BCL2	0.993	0.993
APAF1	GPX8	0.444	0.444
ATF4	XBP1	0.917	0.917
ATF4	TP53	0.45	0.45
ATF4	EIF2AK3	0.992	0.992
ATF4	CASP3	0.602	0.602
ATF4	HSPA5	0.975	0.975
ATF4	ULK1	0.406	0.406
ATF4	SQSTM1	0.453	0.453
ATF4	MAP3K5	0.513	0.513
ATF4	BCL2	0.597	0.597
ATF4	ERN1	0.835	0.835
ATF4	ATF6	0.942	0.942
ATF4	DDIT3	0.996	0.996
ATF6	XBP1	0.998	0.998
ATF6	DERL1	0.511	0.511
ATF6	PIK3C3	0.431	0.431
ATF6	WIPI1	0.422	0.422
ATF6	TP53	0.51	0.51
ATF6	SOD1	0.423	0.423
ATF6	EIF2AK3	0.978	0.978
ATF6	CASP3	0.737	0.737
ATF6	HSPA5	0.999	0.999
ATF4	ATF6	0.942	0.942
ATF6	MAP3K5	0.712	0.712
ATF6	SQSTM1	0.471	0.471
ATF6	BCL2L1	0.504	0.504
ATF6	ITPR3	0.537	0.537
ATF6	BCL2	0.716	0.716
ATF6	ERN1	0.976	0.976
ATF6	DDIT3	0.989	0.989
ATG14	RB1CC1	0.999	0.999
ATG14	GABARAPL2	0.994	0.994
ATG14	CASP3	0.405	0.405
ATG14	OPTN	0.644	0.644
ATG14	BCL2L1	0.691	0.691
ATG14	SQSTM1	0.822	0.822
ATG14	WIPI1	0.889	0.889
ATG14	BCL2	0.929	0.929
ATG14	WIPI2	0.935	0.935
ATG14	GABARAPL1	0.993	0.993
ATG14	PIK3R4	0.999	0.999
ATG14	ULK1	0.999	0.999
ATG14	PIK3C3	0.999	0.999
BCL2	RB1CC1	0.529	0.529
BCL2	GABARAPL2	0.528	0.528
BCL2	MAPK12	0.421	0.421
BCL2	XBP1	0.666	0.666
BCL2	PPP3R1	0.438	0.438
ATG14	BCL2	0.929	0.929
BCL2	PIK3C3	0.976	0.976
BCL2	DAXX	0.558	0.558
BCL2	TP53	0.999	0.999
BCL2	SOD1	0.998	0.998
BCL2	EIF2AK3	0.729	0.729
BCL2	CASP3	0.987	0.987
BCL2	BID	0.998	0.998
BCL2	HSPA5	0.738	0.738
BCL2	ULK1	0.577	0.577
ATF4	BCL2	0.597	0.597
BCL2	NDUFA4	0.422	0.422
BCL2	ERBB4	0.66	0.66
BCL2	PIK3R4	0.692	0.692
BCL2	MAP3K5	0.755	0.755
BCL2	GPX7	0.731	0.731
ATF6	BCL2	0.716	0.716
BCL2	SDHC	0.512	0.512
ANXA7	BCL2	0.483	0.483
BCL2	ITPR3	0.993	0.993
BCL2	BCL2L1	0.999	0.999
BCL2	HDAC6	0.479	0.479
BCL2	SQSTM1	0.812	0.812
BCL2	GABARAPL1	0.535	0.535
BCL2	TOMM40	0.639	0.639
BCL2	GPX8	0.734	0.734
BCL2	ERN1	0.781	0.781
