from	to	score	weight
ACTB	GABARAPL2	0.525	0.525
ACTB	PSMC4	0.418	0.418
ACTB	TNFRSF1A	0.523	0.523
ACTB	UQCRC1	0.42	0.42
ACTB	MAPK13	0.452	0.452
ACTB	MAPK12	0.456	0.456
ACTB	XBP1	0.634	0.634
ACTB	PSMA3	0.415	0.415
ACTB	TUBB1	0.591	0.591
ACTB	DCTN6	0.916	0.916
ACTB	PSMA2	0.519	0.519
ACTB	PFN1	0.999	0.999
ACTB	MAPK14	0.573	0.573
ACTB	TARDBP	0.529	0.529
ACTB	TUBA4A	0.825	0.825
ACTB	FUS	0.477	0.477
ACTB	ACTR10	0.987	0.987
ACTB	EIF2S1	0.598	0.598
ACTB	DCTN3	0.896	0.896
ACTB	TUBB2B	0.584	0.584
ACTB	ATP5F1B	0.638	0.638
ACTB	PIK3C3	0.448	0.448
ACTB	NDUFS3	0.42	0.42
ACTB	TUBB4A	0.801	0.801
ACTB	PSMD3	0.507	0.507
ACTB	SDHA	0.692	0.692
ACTB	NDUFA9	0.406	0.406
ACTB	UQCRC2	0.525	0.525
ACTB	TP53	0.879	0.879
ACTB	SOD1	0.658	0.658
ACTB	RAB5A	0.502	0.502
ACTB	SLC1A2	0.435	0.435
ACTB	NRG1	0.492	0.492
ACTB	ACTR1B	0.542	0.542
ACTB	GRIN2C	0.506	0.506
ACTB	BAX	0.611	0.611
ACTB	GRIA2	0.447	0.447
ACTB	NDUFB8	0.464	0.464
ACTB	DCTN5	0.922	0.922
ACTB	GABARAP	0.464	0.464
ACTB	EIF2AK3	0.772	0.772
ACTB	CYCS	0.871	0.871
ACTB	CASP3	0.989	0.989
ACTB	NEFH	0.4	0.4
ACTB	TUBA3E	0.543	0.543
ACTB	TUBB6	0.759	0.759
ACTB	TUBB3	0.731	0.731
ACTB	PFN4	0.999	0.999
ACTB	HSPA5	0.808	0.808
ACTB	ULK1	0.412	0.412
ACTB	TUBA3D	0.663	0.663
ACTB	NOS2	0.576	0.576
ACTB	TBK1	0.562	0.562
ACTB	CASP9	0.819	0.819
ACTB	GRIN2A	0.535	0.535
ACTB	TUBA8	0.55	0.55
ACTB	MAPK11	0.474	0.474
ACTB	ATF4	0.548	0.548
ACTB	TUBA1B	0.782	0.782
ACTB	TUBB	0.844	0.844
ACTB	TUBB4B	0.672	0.672
ACTB	HNRNPA1	0.704	0.704
ACTB	ERBB4	0.448	0.448
ACTB	MAP2K3	0.409	0.409
ACTB	HNRNPA2B1	0.613	0.613
ACTB	PFN3	0.999	0.999
ACTB	VCP	0.728	0.728
ACTB	MAP3K5	0.447	0.447
ACTB	MT-CO1	0.57	0.57
ACTB	MT-CYB	0.522	0.522
ACTB	MTOR	0.752	0.752
ACTB	GPX6	0.59	0.59
ACTB	GPX7	0.594	0.594
ACTB	MT-ND1	0.429	0.429
ACTB	DCTN1	0.971	0.971
ACTB	MT-CO2	0.56	0.56
ACTB	BECN1	0.785	0.785
ACTB	PRKN	0.711	0.711
ACTB	ATF6	0.627	0.627
ACTB	SDHC	0.766	0.766
ACTB	ACTR1A	0.977	0.977
ACTB	PSMA7	0.637	0.637
ACTB	GRIN1	0.438	0.438
ACTB	ITPR3	0.402	0.402
ACTB	PINK1	0.547	0.547
ACTB	SDHB	0.632	0.632
ACTB	BCL2L1	0.784	0.784
ACTB	COX4I2	0.5	0.5
ACTB	HDAC6	0.716	0.716
ACTB	TUBB2A	0.832	0.832
ACTB	TUBAL3	0.566	0.566
ACTB	GPX3	0.593	0.593
ACTB	GPX2	0.593	0.593
ACTB	SQSTM1	0.725	0.725
ACTB	VDAC1	0.864	0.864
ACTB	BCL2	0.885	0.885
ACTB	ATP5F1A	0.642	0.642
ACTB	GPX5	0.591	0.591
ACTB	TNF	0.847	0.847
ACTB	ERN1	0.644	0.644
ACTB	DCTN2	0.95	0.95
ACTB	GABARAPL1	0.473	0.473
ACTB	PSMA1	0.569	0.569
ACTB	DCTN4	0.945	0.945
ACTB	GPX8	0.594	0.594
ACTB	GRIA1	0.545	0.545
ACTB	CASP1	0.729	0.729
ACTB	TUBA1A	0.838	0.838
ACTB	TUBA1C	0.825	0.825
ACTB	APAF1	0.572	0.572
ACTB	DDIT3	0.593	0.593
ACTB	COX4I1	0.763	0.763
ACTB	ACTG1	0.999	0.999
ACTB	GRIN2B	0.738	0.738
ACTB	NOS1	0.625	0.625
ACTB	NEFL	0.441	0.441
ACTB	PSMB3	0.543	0.543
ACTG1	PFN1	0.992	0.992
ACTG1	TRAF2	0.688	0.688
ACTG1	TUBA4A	0.547	0.547
ACTG1	ACTR10	0.573	0.573
ACTG1	TUBB2B	0.478	0.478
ACTG1	ATP5F1B	0.484	0.484
ACTG1	ACTR1B	0.442	0.442
ACTG1	DCTN5	0.433	0.433
ACTG1	CYCS	0.533	0.533
ACTG1	CASP3	0.922	0.922
ACTG1	TUBA3E	0.507	0.507
ACTG1	TUBB6	0.439	0.439
ACTG1	PFN4	0.991	0.991
ACTG1	HSPA5	0.475	0.475
ACTG1	TUBA8	0.579	0.579
ACTG1	TUBA1B	0.726	0.726
ACTG1	TUBB	0.773	0.773
ACTG1	TUBB4B	0.522	0.522
ACTG1	ATP5F1C	0.591	0.591
ACTG1	PFN3	0.987	0.987
ACTG1	VCP	0.516	0.516
ACTG1	DCTN1	0.442	0.442
ACTG1	ACTR1A	0.652	0.652
ACTG1	NDUFA8	0.402	0.402
ACTG1	TUBB2A	0.725	0.725
ACTG1	TUBAL3	0.546	0.546
ACTG1	ATP5F1A	0.511	0.511
ACTG1	DCTN2	0.58	0.58
ACTG1	DCTN4	0.559	0.559
ACTG1	TUBA1A	0.788	0.788
ACTG1	TUBA1C	0.754	0.754
ACTB	ACTG1	0.999	0.999
ACTR10	DCTN6	0.999	0.999
ACTR10	TUBB4B	0.408	0.408
ACTR10	PFN4	0.435	0.435
ACTR10	KLC2	0.557	0.557
ACTR10	KLC4	0.564	0.564
ACTG1	ACTR10	0.573	0.573
ACTR10	KIF5A	0.578	0.578
ACTR10	KLC3	0.585	0.585
ACTR10	KIF5B	0.593	0.593
ACTR10	KLC1	0.617	0.617
ACTR10	SOD1	0.69	0.69
ACTR10	HAP1	0.831	0.831
ACTB	ACTR10	0.987	0.987
ACTR10	ACTR1B	0.995	0.995
ACTR10	DCTN3	0.996	0.996
ACTR10	DCTN2	0.999	0.999
ACTR10	DCTN1	0.999	0.999
ACTR10	DCTN5	0.999	0.999
ACTR10	DCTN4	0.999	0.999
ACTR10	ACTR1A	0.999	0.999
ACTR1A	DCTN6	0.999	0.999
ACTR1A	PFN1	0.477	0.477
ACTR10	ACTR1A	0.999	0.999
ACTR1A	DCTN3	0.998	0.998
ACTR1A	KLC4	0.573	0.573
ACTR1A	SOD1	0.662	0.662
ACTR1A	ACTR1B	0.992	0.992
ACTR1A	DCTN5	0.999	0.999
ACTR1A	RAB8A	0.552	0.552
ACTR1A	KIF5B	0.624	0.624
ACTR1A	PFN4	0.483	0.483
ACTR1A	HAP1	0.88	0.88
ACTR1A	TUBB4B	0.459	0.459
ACTR1A	VCP	0.506	0.506
ACTR1A	DCTN1	0.999	0.999
ACTR1A	DNAH10	0.43	0.43
ACTR1A	OPTN	0.506	0.506
ACTR1A	KIF5A	0.556	0.556
ACTR1A	KLC3	0.576	0.576
ACTR1A	KLC2	0.608	0.608
ACTG1	ACTR1A	0.652	0.652
ACTR1A	KLC1	0.674	0.674
ACTB	ACTR1A	0.977	0.977
ACTR1A	DCTN4	0.999	0.999
ACTR1A	DCTN2	0.999	0.999
ACTR1B	DCTN6	0.993	0.993
ACTR10	ACTR1B	0.995	0.995
ACTR1B	DCTN3	0.992	0.992
ACTR1B	SOD1	0.664	0.664
ACTR1B	TUBA1C	0.416	0.416
ACTG1	ACTR1B	0.442	0.442
ACTR1B	PFN4	0.505	0.505
ACTR1B	UQCRH	0.509	0.509
ACTB	ACTR1B	0.542	0.542
ACTR1B	HAP1	0.8	0.8
ACTR1A	ACTR1B	0.992	0.992
ACTR1B	DCTN5	0.993	0.993
ACTR1B	DCTN1	0.997	0.997
ACTR1B	DCTN2	0.998	0.998
ACTR1B	DCTN4	0.998	0.998
ADRM1	PSMA4	0.978	0.978
ADRM1	PSMC4	0.999	0.999
ADRM1	PSMD8	0.999	0.999
ADRM1	PSMA3	0.96	0.96
ADRM1	PSMD7	0.999	0.999
ADRM1	PSMA2	0.972	0.972
ADRM1	EIF2S1	0.468	0.468
ADRM1	PSMB7	0.921	0.921
ADRM1	PSMC1	0.999	0.999
ADRM1	PSMA6	0.967	0.967
ADRM1	PSMD11	0.999	0.999
ADRM1	PSMB1	0.98	0.98
ADRM1	PSMD3	0.999	0.999
ADRM1	SOD1	0.819	0.819
ADRM1	PSMB6	0.945	0.945
ADRM1	PSMA5	0.975	0.975
ADRM1	PSMB4	0.967	0.967
ADRM1	PSMD1	0.999	0.999
ADRM1	PSMD2	0.999	0.999
ADRM1	PSMC5	0.998	0.998
ADRM1	PSMA8	0.869	0.869
ADRM1	UBQLN2	0.982	0.982
ADRM1	UBQLN3	0.591	0.591
ADRM1	PSMD12	0.999	0.999
ADRM1	VCP	0.562	0.562
ADRM1	PSMB5	0.961	0.961
ADRM1	PRKN	0.953	0.953
ADRM1	UBQLN4	0.637	0.637
ADRM1	PSMD4	0.999	0.999
ADRM1	PSMA7	0.937	0.937
ADRM1	PSMB2	0.987	0.987
ADRM1	UBQLN1	0.924	0.924
ADRM1	PSMD14	0.999	0.999
ADRM1	PSMC2	0.999	0.999
ADRM1	PSMA1	0.983	0.983
ADRM1	PSMD9	0.885	0.885
ADRM1	PSMB3	0.965	0.965
ADRM1	PSMC3	0.998	0.998
ADRM1	PSMC6	0.999	0.999
ALS2	SETX	0.909	0.909
ALS2	PFN1	0.58	0.58
ALS2	FIG4	0.854	0.854
ALS2	TARDBP	0.828	0.828
ALS2	TUBA4A	0.543	0.543
ALS2	FUS	0.822	0.822
ALS2	SPG11	0.798	0.798
ALS2	CHMP2B	0.789	0.789
ALS2	ANG	0.447	0.447
ALS2	HNRNPA1	0.463	0.463
ALS2	MT-ND4	0.469	0.469
ALS2	RANBP2	0.489	0.489
ALS2	SQSTM1	0.511	0.511
ALS2	TBK1	0.518	0.518
ALS2	KIF5A	0.542	0.542
ALS2	SIGMAR1	0.613	0.613
ALS2	MATR3-2	0.614	0.614
ALS2	VCP	0.683	0.683
ALS2	UBQLN2	0.733	0.733
ALS2	NEFH	0.736	0.736
ALS2	ATXN2	0.741	0.741
ALS2	OPTN	0.772	0.772
ALS2	DCTN1	0.794	0.794
ALS2	C9orf72	0.819	0.819
ALS2	VAPB	0.879	0.879
ALS2	SOD1	0.891	0.891
ALS2	RAB5A	0.991	0.991
ALYREF	NUP107	0.647	0.647
ALYREF	NUP155	0.649	0.649
ALYREF	TARDBP	0.809	0.809
ALYREF	NUP85	0.589	0.589
ALYREF	FUS	0.453	0.453
ALYREF	NUP210	0.543	0.543
ALYREF	NXT1	0.91	0.91
ALYREF	NUP133	0.617	0.617
ALYREF	NUP54	0.6	0.6
ALYREF	RANBP2	0.734	0.734
