#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTG1	PFN1	9606.ENSP00000458162	9606.ENSP00000225655	0	0	0	0	0.252	0.301	0.9	0.871	0.992
ACTG1	CASP3	9606.ENSP00000458162	9606.ENSP00000311032	0	0	0	0	0.049	0.095	0.9	0.209	0.922
ACTG1	HSPA5	9606.ENSP00000458162	9606.ENSP00000324173	0	0	0	0	0.123	0.158	0	0.346	0.475
ACTG1	TUBB	9606.ENSP00000458162	9606.ENSP00000339001	0	0	0	0	0.258	0.129	0	0.677	0.773
ACTG1	DCTN2	9606.ENSP00000458162	9606.ENSP00000408910	0	0	0	0	0.067	0.495	0	0.179	0.58
ALYREF	NUP107	9606.ENSP00000421592	9606.ENSP00000229179	0	0	0	0	0.106	0	0.5	0.273	0.647
ALYREF	NUP155	9606.ENSP00000421592	9606.ENSP00000231498	0	0	0	0	0.129	0.185	0.5	0.127	0.649
ALYREF	NUP85	9606.ENSP00000421592	9606.ENSP00000245544	0	0	0	0	0.153	0.079	0.5	0.072	0.589
ALYREF	FUS	9606.ENSP00000421592	9606.ENSP00000254108	0	0	0	0.612	0.184	0.186	0	0.243	0.453
ALYREF	NUP210	9606.ENSP00000421592	9606.ENSP00000254508	0	0	0	0	0.049	0	0.5	0.118	0.543
ALYREF	NUP54	9606.ENSP00000421592	9606.ENSP00000264883	0	0	0	0	0.14	0	0.5	0.145	0.6
ALYREF	NUP205	9606.ENSP00000421592	9606.ENSP00000285968	0	0	0	0	0.067	0	0.5	0.168	0.578
ALYREF	NUP35	9606.ENSP00000421592	9606.ENSP00000295119	0	0	0	0	0.162	0	0.5	0	0.563
ALYREF	GLE1	9606.ENSP00000421592	9606.ENSP00000308622	0	0	0	0	0.43	0	0.4	0.575	0.842
ALYREF	NUP98	9606.ENSP00000421592	9606.ENSP00000316032	0	0	0	0	0.202	0.128	0.5	0.341	0.74
ALYREF	SRSF7	9606.ENSP00000421592	9606.ENSP00000325905	0	0	0	0	0.547	0.616	0.5	0.579	0.958
ALYREF	NUP43	9606.ENSP00000421592	9606.ENSP00000342262	0	0	0	0	0.178	0	0.5	0.099	0.597
ALYREF	NUP50	9606.ENSP00000421592	9606.ENSP00000345895	0	0	0	0	0.16	0	0.5	0.281	0.672
ALYREF	HNRNPA2B1	9606.ENSP00000421592	9606.ENSP00000346694	0	0	0.348	0	0.667	0.133	0	0.425	0.877
ALYREF	NUP188	9606.ENSP00000421592	9606.ENSP00000361658	0	0	0	0	0.06	0	0.5	0	0.509
ALYREF	SRSF3	9606.ENSP00000421592	9606.ENSP00000362820	0	0	0	0	0.709	0	0.5	0.687	0.95
ALYREF	NUP160	9606.ENSP00000421592	9606.ENSP00000367721	0	0	0	0	0.07	0	0.5	0.194	0.592
ALYREF	SEC13	9606.ENSP00000421592	9606.ENSP00000373312	0	0	0	0	0.124	0	0.5	0	0.543
ALYREF	SQSTM1	9606.ENSP00000421592	9606.ENSP00000374455	0	0	0	0	0.055	0	0	0.405	0.414
ALYREF	NUP37	9606.ENSP00000421592	9606.ENSP00000448054	0	0	0	0	0.172	0.102	0.5	0.104	0.622
ALYREF	NUP88	9606.ENSP00000421592	9606.ENSP00000458954	0	0	0	0	0.08	0	0.5	0.25	0.625
ALYREF	NUP62	9606.ENSP00000421592	9606.ENSP00000471191	0	0	0	0	0.137	0	0.5	0.313	0.677
ALYREF	NUP153	9606.ENSP00000421592	9606.ENSP00000444029	0	0	0	0	0.061	0.094	0.5	0.395	0.708
ANXA11	FUS	9606.ENSP00000398610	9606.ENSP00000254108	0	0	0	0	0.049	0	0	0.404	0.409
ANXA11	ANXA7	9606.ENSP00000398610	9606.ENSP00000362010	0	0	0.08	0.919	0.092	0	0.9	0.157	0.92
ANXA7	TP53	9606.ENSP00000362010	9606.ENSP00000269305	0	0	0	0	0	0.229	0	0.266	0.409
ANXA7	BCL2	9606.ENSP00000362010	9606.ENSP00000381185	0	0	0	0	0.059	0	0	0.473	0.483
ANXA7	ANXA11	9606.ENSP00000362010	9606.ENSP00000398610	0	0	0.08	0.919	0.092	0	0.9	0.157	0.92
APAF1	TP53	9606.ENSP00000448165	9606.ENSP00000269305	0	0	0	0	0.067	0.164	0.75	0.885	0.974
APAF1	CASP3	9606.ENSP00000448165	9606.ENSP00000311032	0	0	0	0	0.056	0.794	0.9	0.986	0.999
APAF1	CYC1	9606.ENSP00000448165	9606.ENSP00000317159	0	0	0	0	0.042	0.287	0	0.569	0.68
APAF1	BID	9606.ENSP00000448165	9606.ENSP00000318822	0	0	0	0	0.049	0	0	0.607	0.61
APAF1	HSPA5	9606.ENSP00000448165	9606.ENSP00000324173	0	0	0	0	0.082	0	0	0.451	0.475
APAF1	HNRNPA2B1	9606.ENSP00000448165	9606.ENSP00000346694	0	0	0	0	0.073	0.104	0	0.408	0.466
APAF1	MAP3K5	9606.ENSP00000448165	9606.ENSP00000351908	0	0	0	0	0.049	0	0	0.453	0.458
APAF1	GPX7	9606.ENSP00000448165	9606.ENSP00000354677	0	0	0	0	0	0	0	0.444	0.444
APAF1	BCL2L1	9606.ENSP00000448165	9606.ENSP00000365230	0	0	0	0	0.049	0.639	0	0.991	0.996
APAF1	SQSTM1	9606.ENSP00000448165	9606.ENSP00000374455	0	0	0	0	0.062	0.292	0	0.266	0.47
APAF1	BCL2	9606.ENSP00000448165	9606.ENSP00000381185	0	0	0	0	0.049	0.294	0	0.991	0.993
APAF1	GPX8	9606.ENSP00000448165	9606.ENSP00000423822	0	0	0	0	0	0	0	0.444	0.444
ATF4	XBP1	9606.ENSP00000336790	9606.ENSP00000216037	0	0	0	0	0.221	0.098	0	0.892	0.917
ATF4	TP53	9606.ENSP00000336790	9606.ENSP00000269305	0	0	0	0	0	0	0	0.45	0.45
ATF4	EIF2AK3	9606.ENSP00000336790	9606.ENSP00000307235	0	0	0	0	0.057	0	0.9	0.927	0.992
ATF4	CASP3	9606.ENSP00000336790	9606.ENSP00000311032	0	0	0	0	0	0	0	0.602	0.602
ATF4	HSPA5	9606.ENSP00000336790	9606.ENSP00000324173	0	0	0	0	0.1	0	0.75	0.897	0.975
ATF4	ULK1	9606.ENSP00000336790	9606.ENSP00000324560	0	0	0	0	0.082	0	0	0.379	0.406
ATF4	SQSTM1	9606.ENSP00000336790	9606.ENSP00000374455	0	0	0	0	0.101	0	0	0.417	0.453
ATF4	MAP3K5	9606.ENSP00000336790	9606.ENSP00000351908	0	0	0	0	0	0	0	0.513	0.513
ATF4	BCL2	9606.ENSP00000336790	9606.ENSP00000381185	0	0	0	0	0	0	0	0.597	0.597
ATF4	ERN1	9606.ENSP00000336790	9606.ENSP00000401445	0	0	0	0	0.056	0	0	0.833	0.835
ATF4	ATF6	9606.ENSP00000336790	9606.ENSP00000356919	0	0	0	0	0	0	0	0.942	0.942
ATF4	DDIT3	9606.ENSP00000336790	9606.ENSP00000448665	0	0	0	0	0.187	0.526	0.9	0.925	0.996
ATF6	XBP1	9606.ENSP00000356919	9606.ENSP00000216037	0	0	0	0	0.049	0.574	0.75	0.99	0.998
ATF6	DERL1	9606.ENSP00000356919	9606.ENSP00000259512	0	0	0	0	0.134	0.096	0	0.425	0.511
ATF6	PIK3C3	9606.ENSP00000356919	9606.ENSP00000262039	0	0	0	0	0.14	0	0	0.365	0.431
ATF6	WIPI1	9606.ENSP00000356919	9606.ENSP00000262139	0	0	0	0	0.06	0	0	0.411	0.422
ATF6	TP53	9606.ENSP00000356919	9606.ENSP00000269305	0	0	0	0	0.049	0	0	0.506	0.51
ATF6	SOD1	9606.ENSP00000356919	9606.ENSP00000270142	0	0	0	0	0.049	0	0	0.419	0.423
ATF6	EIF2AK3	9606.ENSP00000356919	9606.ENSP00000307235	0	0	0	0	0.042	0.292	0	0.97	0.978
ATF6	CASP3	9606.ENSP00000356919	9606.ENSP00000311032	0	0	0	0	0.049	0	0	0.735	0.737
ATF6	HSPA5	9606.ENSP00000356919	9606.ENSP00000324173	0	0	0	0	0.074	0.301	0.9	0.999	0.999
ATF6	ATF4	9606.ENSP00000356919	9606.ENSP00000336790	0	0	0	0	0	0	0	0.942	0.942
ATF6	MAP3K5	9606.ENSP00000356919	9606.ENSP00000351908	0	0	0	0	0.063	0	0	0.706	0.712
ATF6	SQSTM1	9606.ENSP00000356919	9606.ENSP00000374455	0	0	0	0	0.047	0	0	0.468	0.471
ATF6	BCL2L1	9606.ENSP00000356919	9606.ENSP00000365230	0	0	0	0	0.049	0	0	0.5	0.504
ATF6	ITPR3	9606.ENSP00000356919	9606.ENSP00000363435	0	0	0	0	0	0	0	0.537	0.537
ATF6	BCL2	9606.ENSP00000356919	9606.ENSP00000381185	0	0	0	0	0	0	0	0.716	0.716
ATF6	ERN1	9606.ENSP00000356919	9606.ENSP00000401445	0	0	0	0	0.044	0.292	0	0.968	0.976
ATF6	DDIT3	9606.ENSP00000356919	9606.ENSP00000448665	0	0	0	0	0.086	0	0.9	0.893	0.989
ATG14	RB1CC1	9606.ENSP00000247178	9606.ENSP00000025008	0	0	0	0	0.174	0.994	0.9	0.913	0.999
ATG14	GABARAPL2	9606.ENSP00000247178	9606.ENSP00000037243	0	0	0	0	0.06	0.513	0.9	0.895	0.994
ATG14	CASP3	9606.ENSP00000247178	9606.ENSP00000311032	0	0	0	0	0.055	0	0	0.396	0.405
ATG14	OPTN	9606.ENSP00000247178	9606.ENSP00000368022	0	0	0	0	0.063	0.292	0	0.507	0.644
ATG14	BCL2L1	9606.ENSP00000247178	9606.ENSP00000365230	0	0	0	0	0	0	0	0.691	0.691
ATG14	SQSTM1	9606.ENSP00000247178	9606.ENSP00000374455	0	0	0	0	0	0	0	0.822	0.822
ATG14	WIPI1	9606.ENSP00000247178	9606.ENSP00000262139	0	0	0	0	0.042	0.195	0	0.867	0.889
ATG14	BCL2	9606.ENSP00000247178	9606.ENSP00000381185	0	0	0	0	0	0	0	0.929	0.929
ATG14	WIPI2	9606.ENSP00000247178	9606.ENSP00000288828	0	0	0	0	0.085	0	0.5	0.869	0.935
ATG14	GABARAPL1	9606.ENSP00000247178	9606.ENSP00000411256	0	0	0	0	0.085	0.602	0.9	0.831	0.993
ATG14	PIK3R4	9606.ENSP00000247178	9606.ENSP00000349205	0	0	0	0	0.049	0.994	0.8	0.999	0.999
ATG14	ULK1	9606.ENSP00000247178	9606.ENSP00000324560	0	0	0	0	0.044	0.994	0.9	0.904	0.999
ATG14	PIK3C3	9606.ENSP00000247178	9606.ENSP00000262039	0	0	0	0	0.061	0.994	0.8	0.999	0.999
BCL2	RB1CC1	9606.ENSP00000381185	9606.ENSP00000025008	0	0	0	0	0	0	0	0.529	0.529
BCL2	GABARAPL2	9606.ENSP00000381185	9606.ENSP00000037243	0	0	0	0	0.052	0	0	0.522	0.528
BCL2	MAPK12	9606.ENSP00000381185	9606.ENSP00000215659	0	0	0	0	0.055	0	0	0.412	0.421
BCL2	XBP1	9606.ENSP00000381185	9606.ENSP00000216037	0	0	0	0	0.079	0	0	0.652	0.666
BCL2	PPP3R1	9606.ENSP00000381185	9606.ENSP00000234310	0	0	0	0	0.049	0.301	0	0.222	0.438
BCL2	ATG14	9606.ENSP00000381185	9606.ENSP00000247178	0	0	0	0	0	0	0	0.929	0.929
BCL2	PIK3C3	9606.ENSP00000381185	9606.ENSP00000262039	0	0	0	0	0.05	0.069	0	0.975	0.976
BCL2	DAXX	9606.ENSP00000381185	9606.ENSP00000266000	0	0	0	0	0.083	0	0	0.538	0.558
BCL2	TP53	9606.ENSP00000381185	9606.ENSP00000269305	0	0	0	0	0.103	0.869	0.9	0.999	0.999
BCL2	SOD1	9606.ENSP00000381185	9606.ENSP00000270142	0	0	0	0	0	0.329	0.9	0.976	0.998
BCL2	EIF2AK3	9606.ENSP00000381185	9606.ENSP00000307235	0	0	0	0	0.073	0	0	0.72	0.729
BCL2	CASP3	9606.ENSP00000381185	9606.ENSP00000311032	0	0	0	0	0.098	0.354	0	0.98	0.987
BCL2	BID	9606.ENSP00000381185	9606.ENSP00000318822	0	0	0	0	0.055	0.872	0.9	0.92	0.998
BCL2	HSPA5	9606.ENSP00000381185	9606.ENSP00000324173	0	0	0	0	0	0	0	0.738	0.738
BCL2	ULK1	9606.ENSP00000381185	9606.ENSP00000324560	0	0	0	0	0	0	0	0.577	0.577
BCL2	ATF4	9606.ENSP00000381185	9606.ENSP00000336790	0	0	0	0	0	0	0	0.597	0.597
BCL2	NDUFA4	9606.ENSP00000381185	9606.ENSP00000339720	0	0	0	0	0	0	0	0.423	0.422
BCL2	ERBB4	9606.ENSP00000381185	9606.ENSP00000342235	0	0	0	0	0.053	0	0	0.655	0.66
BCL2	PIK3R4	9606.ENSP00000381185	9606.ENSP00000349205	0	0	0	0	0	0	0	0.692	0.692
BCL2	MAP3K5	9606.ENSP00000381185	9606.ENSP00000351908	0	0	0	0	0.107	0	0	0.736	0.755
BCL2	GPX7	9606.ENSP00000381185	9606.ENSP00000354677	0	0	0	0	0	0	0	0.731	0.731
BCL2	ATF6	9606.ENSP00000381185	9606.ENSP00000356919	0	0	0	0	0	0	0	0.716	0.716
BCL2	SDHC	9606.ENSP00000381185	9606.ENSP00000356953	0	0	0	0	0	0	0	0.512	0.512
BCL2	ANXA7	9606.ENSP00000381185	9606.ENSP00000362010	0	0	0	0	0.059	0	0	0.473	0.483
BCL2	ITPR3	9606.ENSP00000381185	9606.ENSP00000363435	0	0	0	0	0.043	0.292	0	0.991	0.993
BCL2	BCL2L1	9606.ENSP00000381185	9606.ENSP00000365230	0	0	0	0.894	0	0.863	0.9	0.984	0.999
BCL2	HDAC6	9606.ENSP00000381185	9606.ENSP00000365804	0	0	0	0	0.052	0	0	0.473	0.479
BCL2	SQSTM1	9606.ENSP00000381185	9606.ENSP00000374455	0	0	0	0	0	0.51	0	0.633	0.812
BCL2	GABARAPL1	9606.ENSP00000381185	9606.ENSP00000411256	0	0	0	0	0.052	0	0	0.529	0.535
BCL2	TOMM40	9606.ENSP00000381185	9606.ENSP00000410339	0	0	0	0	0	0	0.54	0.247	0.639
BCL2	GPX8	9606.ENSP00000381185	9606.ENSP00000423822	0	0	0	0	0	0	0	0.734	0.734
BCL2	ERN1	9606.ENSP00000381185	9606.ENSP00000401445	0	0	0	0	0.055	0	0	0.777	0.781
BCL2	DDIT3	9606.ENSP00000381185	9606.ENSP00000448665	0	0	0	0	0.067	0	0.9	0.724	0.972
BCL2	APAF1	9606.ENSP00000381185	9606.ENSP00000448165	0	0	0	0	0.049	0.294	0	0.991	0.993
BCL2L1	RB1CC1	9606.ENSP00000365230	9606.ENSP00000025008	0	0	0	0	0.067	0	0	0.406	0.422
BCL2L1	GABARAPL2	9606.ENSP00000365230	9606.ENSP00000037243	0	0	0	0	0.119	0	0	0.412	0.46
BCL2L1	XBP1	9606.ENSP00000365230	9606.ENSP00000216037	0	0	0	0	0.057	0	0	0.475	0.484
BCL2L1	ATG14	9606.ENSP00000365230	9606.ENSP00000247178	0	0	0	0	0	0	0	0.691	0.691
BCL2L1	PIK3C3	9606.ENSP00000365230	9606.ENSP00000262039	0	0	0	0	0.049	0.069	0	0.762	0.771
BCL2L1	DAXX	9606.ENSP00000365230	9606.ENSP00000266000	0	0	0	0	0.049	0	0	0.505	0.509
BCL2L1	TP53	9606.ENSP00000365230	9606.ENSP00000269305	0	0	0	0	0.074	0.986	0	0.998	0.999
BCL2L1	EIF2AK3	9606.ENSP00000365230	9606.ENSP00000307235	0	0	0	0	0.055	0	0	0.581	0.587
BCL2L1	CASP3	9606.ENSP00000365230	9606.ENSP00000311032	0	0	0	0	0.044	0.209	0	0.94	0.95
BCL2L1	BID	9606.ENSP00000365230	9606.ENSP00000318822	0	0	0	0	0.055	0.99	0.9	0.616	0.999
BCL2L1	HSPA5	9606.ENSP00000365230	9606.ENSP00000324173	0	0	0	0	0.042	0	0	0.571	0.571
BCL2L1	ULK1	9606.ENSP00000365230	9606.ENSP00000324560	0	0	0	0	0.06	0	0	0.428	0.44
BCL2L1	PIK3R4	9606.ENSP00000365230	9606.ENSP00000349205	0	0	0	0	0.049	0	0	0.42	0.425
BCL2L1	MAP3K5	9606.ENSP00000365230	9606.ENSP00000351908	0	0	0	0	0.052	0	0	0.537	0.543
BCL2L1	GPX7	9606.ENSP00000365230	9606.ENSP00000354677	0	0	0	0	0	0	0	0.499	0.499
BCL2L1	ATF6	9606.ENSP00000365230	9606.ENSP00000356919	0	0	0	0	0.049	0	0	0.5	0.504
BCL2L1	SDHC	9606.ENSP00000365230	9606.ENSP00000356953	0	0	0	0	0.101	0	0	0.36	0.4
BCL2L1	ITPR3	9606.ENSP00000365230	9606.ENSP00000363435	0	0	0	0	0.072	0	0	0.94	0.942
BCL2L1	HDAC6	9606.ENSP00000365230	9606.ENSP00000365804	0	0	0	0	0.065	0	0	0.402	0.417
BCL2L1	GABARAPL1	9606.ENSP00000365230	9606.ENSP00000411256	0	0	0	0	0.082	0	0	0.413	0.439
BCL2L1	SQSTM1	9606.ENSP00000365230	9606.ENSP00000374455	0	0	0	0	0.061	0	0	0.475	0.485
BCL2L1	GPX8	9606.ENSP00000365230	9606.ENSP00000423822	0	0	0	0	0	0	0	0.498	0.498
BCL2L1	DDIT3	9606.ENSP00000365230	9606.ENSP00000448665	0	0	0	0	0.067	0	0	0.507	0.52
BCL2L1	ERN1	9606.ENSP00000365230	9606.ENSP00000401445	0	0	0	0	0.055	0	0	0.515	0.522
BCL2L1	APAF1	9606.ENSP00000365230	9606.ENSP00000448165	0	0	0	0	0.049	0.639	0	0.991	0.996
BCL2L1	BCL2	9606.ENSP00000365230	9606.ENSP00000381185	0	0	0	0.894	0	0.863	0.9	0.984	0.999
BID	TP53	9606.ENSP00000318822	9606.ENSP00000269305	0	0	0	0	0	0	0.75	0.449	0.856
BID	CASP3	9606.ENSP00000318822	9606.ENSP00000311032	0	0	0	0	0.125	0.516	0	0.623	0.827
