#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALYREF	NUP107	9606.ENSP00000421592	9606.ENSP00000229179	0	0	0	0	0.106	0	0.5	0.273	0.647
ALYREF	NUP155	9606.ENSP00000421592	9606.ENSP00000231498	0	0	0	0	0.129	0.185	0.5	0.127	0.649
ALYREF	FUS	9606.ENSP00000421592	9606.ENSP00000254108	0	0	0	0.612	0.184	0.186	0	0.243	0.453
ALYREF	NUP210	9606.ENSP00000421592	9606.ENSP00000254508	0	0	0	0	0.049	0	0.5	0.118	0.543
ALYREF	NUP205	9606.ENSP00000421592	9606.ENSP00000285968	0	0	0	0	0.067	0	0.5	0.168	0.578
ALYREF	SRSF7	9606.ENSP00000421592	9606.ENSP00000325905	0	0	0	0	0.547	0.616	0.5	0.579	0.958
ALYREF	NUP43	9606.ENSP00000421592	9606.ENSP00000342262	0	0	0	0	0.178	0	0.5	0.099	0.597
ALYREF	NUP50	9606.ENSP00000421592	9606.ENSP00000345895	0	0	0	0	0.16	0	0.5	0.281	0.672
ALYREF	HNRNPA2B1	9606.ENSP00000421592	9606.ENSP00000346694	0	0	0.348	0	0.667	0.133	0	0.425	0.877
ALYREF	NUP188	9606.ENSP00000421592	9606.ENSP00000361658	0	0	0	0	0.06	0	0.5	0	0.509
ALYREF	SRSF3	9606.ENSP00000421592	9606.ENSP00000362820	0	0	0	0	0.709	0	0.5	0.687	0.95
ALYREF	NUP160	9606.ENSP00000421592	9606.ENSP00000367721	0	0	0	0	0.07	0	0.5	0.194	0.592
ALYREF	SEC13	9606.ENSP00000421592	9606.ENSP00000373312	0	0	0	0	0.124	0	0.5	0	0.543
ALYREF	NUP37	9606.ENSP00000421592	9606.ENSP00000448054	0	0	0	0	0.172	0.102	0.5	0.104	0.622
ALYREF	NUP62	9606.ENSP00000421592	9606.ENSP00000471191	0	0	0	0	0.137	0	0.5	0.313	0.677
ALYREF	NUP153	9606.ENSP00000421592	9606.ENSP00000444029	0	0	0	0	0.061	0.094	0.5	0.395	0.708
ANXA11	FUS	9606.ENSP00000398610	9606.ENSP00000254108	0	0	0	0	0.049	0	0	0.404	0.409
APAF1	TP53	9606.ENSP00000448165	9606.ENSP00000269305	0	0	0	0	0.067	0.164	0.75	0.885	0.974
APAF1	BID	9606.ENSP00000448165	9606.ENSP00000318822	0	0	0	0	0.049	0	0	0.607	0.61
APAF1	HSPA5	9606.ENSP00000448165	9606.ENSP00000324173	0	0	0	0	0.082	0	0	0.451	0.475
APAF1	HNRNPA2B1	9606.ENSP00000448165	9606.ENSP00000346694	0	0	0	0	0.073	0.104	0	0.408	0.466
APAF1	BCL2	9606.ENSP00000448165	9606.ENSP00000381185	0	0	0	0	0.049	0.294	0	0.991	0.993
APAF1	GPX8	9606.ENSP00000448165	9606.ENSP00000423822	0	0	0	0	0	0	0	0.444	0.444
BCL2	XBP1	9606.ENSP00000381185	9606.ENSP00000216037	0	0	0	0	0.079	0	0	0.652	0.666
BCL2	TP53	9606.ENSP00000381185	9606.ENSP00000269305	0	0	0	0	0.103	0.869	0.9	0.999	0.999
BCL2	EIF2AK3	9606.ENSP00000381185	9606.ENSP00000307235	0	0	0	0	0.073	0	0	0.72	0.729
BCL2	BID	9606.ENSP00000381185	9606.ENSP00000318822	0	0	0	0	0.055	0.872	0.9	0.92	0.998
BCL2	HSPA5	9606.ENSP00000381185	9606.ENSP00000324173	0	0	0	0	0	0	0	0.738	0.738
BCL2	ERBB4	9606.ENSP00000381185	9606.ENSP00000342235	0	0	0	0	0.053	0	0	0.655	0.66
BCL2	GPX8	9606.ENSP00000381185	9606.ENSP00000423822	0	0	0	0	0	0	0	0.734	0.734
BCL2	APAF1	9606.ENSP00000381185	9606.ENSP00000448165	0	0	0	0	0.049	0.294	0	0.991	0.993
BID	TP53	9606.ENSP00000318822	9606.ENSP00000269305	0	0	0	0	0	0	0.75	0.449	0.856
BID	APAF1	9606.ENSP00000318822	9606.ENSP00000448165	0	0	0	0	0.049	0	0	0.607	0.61
BID	BCL2	9606.ENSP00000318822	9606.ENSP00000381185	0	0	0	0	0.055	0.872	0.9	0.92	0.998
CAT	GPX8	9606.ENSP00000241052	9606.ENSP00000423822	0.057	0	0	0	0.203	0.128	0	0.497	0.626
DCTN2	OPTN	9606.ENSP00000408910	9606.ENSP00000368022	0	0	0	0	0.049	0	0.5	0.101	0.535
DCTN2	NEFL	9606.ENSP00000408910	9606.ENSP00000482169	0	0	0	0	0	0.073	0	0.386	0.406
DERL1	XBP1	9606.ENSP00000259512	9606.ENSP00000216037	0	0	0	0	0.102	0.292	0	0.498	0.653
DERL1	HSPA5	9606.ENSP00000259512	9606.ENSP00000324173	0	0	0	0	0.131	0.954	0	0.6	0.982
DNAH6	DNALI1	9606.ENSP00000374045	9606.ENSP00000296218	0	0	0.216	0	0.144	0	0	0.497	0.633
DNALI1	DNAH6	9606.ENSP00000296218	9606.ENSP00000374045	0	0	0.216	0	0.144	0	0	0.497	0.633
EIF2AK3	XBP1	9606.ENSP00000307235	9606.ENSP00000216037	0	0	0	0	0.202	0	0	0.891	0.909
EIF2AK3	TP53	9606.ENSP00000307235	9606.ENSP00000269305	0	0	0	0	0.087	0	0	0.609	0.627
EIF2AK3	BCL2	9606.ENSP00000307235	9606.ENSP00000381185	0	0	0	0	0.073	0	0	0.72	0.729
EIF2AK3	HSPA5	9606.ENSP00000307235	9606.ENSP00000324173	0	0	0	0	0.088	0.823	0.9	0.999	0.999
ERBB4	TP53	9606.ENSP00000342235	9606.ENSP00000269305	0	0	0	0	0	0.292	0	0.629	0.726
ERBB4	NRG1	9606.ENSP00000342235	9606.ENSP00000287842	0	0	0	0	0	0.978	0.9	0.999	0.999
ERBB4	NEFL	9606.ENSP00000342235	9606.ENSP00000482169	0	0	0	0	0.097	0.075	0.4	0.104	0.491
ERBB4	BCL2	9606.ENSP00000342235	9606.ENSP00000381185	0	0	0	0	0.053	0	0	0.655	0.66
ERBB4	NRG3	9606.ENSP00000342235	9606.ENSP00000361214	0	0	0	0	0.109	0	0.9	0.998	0.999
FUS	NEFM	9606.ENSP00000254108	9606.ENSP00000221166	0	0	0	0	0	0	0	0.544	0.544
FUS	PFN1	9606.ENSP00000254108	9606.ENSP00000225655	0	0	0	0	0.065	0.134	0	0.623	0.668
FUS	ANXA11	9606.ENSP00000254108	9606.ENSP00000398610	0	0	0	0	0.049	0	0	0.404	0.409
FUS	SLC1A2	9606.ENSP00000254108	9606.ENSP00000278379	0	0	0	0	0	0	0	0.446	0.446
FUS	ALYREF	9606.ENSP00000254108	9606.ENSP00000421592	0	0	0	0.612	0.184	0.186	0	0.243	0.453
FUS	TP53	9606.ENSP00000254108	9606.ENSP00000269305	0	0	0	0	0.077	0.163	0	0.448	0.536
FUS	SPG11	9606.ENSP00000254108	9606.ENSP00000261866	0	0	0	0	0.054	0	0	0.598	0.603
FUS	NEFL	9606.ENSP00000254108	9606.ENSP00000482169	0	0	0	0	0	0	0	0.67	0.67
FUS	SRSF7	9606.ENSP00000254108	9606.ENSP00000325905	0	0	0	0	0.15	0.214	0.4	0.31	0.686
FUS	NEFH	9606.ENSP00000254108	9606.ENSP00000311997	0	0	0	0	0.044	0	0	0.798	0.798
FUS	SRSF3	9606.ENSP00000254108	9606.ENSP00000362820	0	0	0	0	0.215	0.205	0.4	0.594	0.827
FUS	OPTN	9606.ENSP00000254108	9606.ENSP00000368022	0	0	0	0	0.042	0.192	0	0.939	0.948
FUS	HNRNPA2B1	9606.ENSP00000254108	9606.ENSP00000346694	0	0	0	0.578	0.387	0.589	0.4	0.943	0.99
GPX8	CAT	9606.ENSP00000423822	9606.ENSP00000241052	0.057	0	0	0	0.203	0.128	0	0.497	0.626
GPX8	TP53	9606.ENSP00000423822	9606.ENSP00000269305	0	0	0	0	0.062	0	0	0.609	0.618
GPX8	HSPA5	9606.ENSP00000423822	9606.ENSP00000324173	0	0	0	0	0	0	0	0.449	0.449
GPX8	BCL2	9606.ENSP00000423822	9606.ENSP00000381185	0	0	0	0	0	0	0	0.734	0.734
GPX8	APAF1	9606.ENSP00000423822	9606.ENSP00000448165	0	0	0	0	0	0	0	0.444	0.444
GRIA1	SLC1A2	9606.ENSP00000428994	9606.ENSP00000278379	0	0	0	0	0.186	0	0	0.631	0.687
