gene	degree	betweenness	closeness
HSPA5	40	223.189056110728	0.0117647058823529
SRSF3	34	104.26159086012	0.0119047619047619
TP53	34	339.747130105876	0.0125
ALYREF	32	47.7609335109335	0.0103092783505155
NUP153	32	23.5487287222581	0.00970873786407767
NUP62	32	23.5487287222581	0.00970873786407767
SEC13	32	38.3091774840227	0.0102040816326531
SRSF7	32	47.7609335109335	0.0103092783505155
NUP107	30	1.04872872225813	0.00961538461538462
NUP155	30	1.04872872225813	0.00961538461538462
NUP160	30	1.04872872225813	0.00961538461538462
NUP188	30	1.04872872225813	0.00961538461538462
NUP205	30	1.04872872225813	0.00961538461538462
NUP210	30	1.04872872225813	0.00961538461538462
NUP37	30	1.04872872225813	0.00961538461538462
NUP43	30	1.04872872225813	0.00961538461538462
NUP50	30	1.04872872225813	0.00961538461538462
FUS	26	242.937273072645	0.0117647058823529
HNRNPA2B1	20	73.4009496781169	0.0111111111111111
NEFL	18	77.2152001507265	0.0087719298245614
BCL2	16	35.38664843928	0.0102040816326531
NEFH	16	25.6398838004101	0.00854700854700855
OPTN	16	71.5286082338714	0.00952380952380953
APAF1	12	7.77794117647059	0.00980392156862745
XBP1	12	34.2267543859649	0.00952380952380953
ERBB4	10	78.0261107313739	0.00900900900900901
GPX8	10	46	0.00943396226415094
NEFM	10	8.31590339485076	0.00826446280991736
PFN1	10	2.64354066985646	0.00833333333333333
PSMA4	10	3.75	0.00840336134453782
SLC1A2	10	5.60681818181818	0.00833333333333333
EIF2AK3	8	0	0.00934579439252336
PSMB3	8	0	0.00813008130081301
PSMB6	8	0	0.00813008130081301
PSMC5	8	0	0.00813008130081301
SPG11	8	0	0.008
BID	6	0	0.00806451612903226
GRIA1	6	17.3316608829767	0.00826446280991736
NRG1	6	5.38571428571429	0.00704225352112676
PRPH	6	0	0.00649350649350649
DCTN2	4	1.45	0.00719424460431655
DERL1	4	0	0.00775193798449612
NDUFB1	4	0	0.5
NDUFS6	4	0	0.5
NRG3	4	0	0.00641025641025641
NXT2	4	0	0.00675675675675676
UQCR10	4	0	0.5
WIPI1	4	2.81215538847118	0.00763358778625954
ANXA11	2	0	0.00763358778625954
CAT	2	0	0.00657894736842105
DNAH6	2	0	1
DNALI1	2	0	1
MAP2K6	2	0	0.00793650793650794
