gene	degree	betweenness	closeness
HSPA5	44	230.040672498296	0.0113636363636364
SRSF3	38	99.1847114443864	0.0113636363636364
TP53	38	371.194418691903	0.0120481927710843
ALYREF	36	44.7147663610899	0.0099009900990099
NUP153	36	29.0667015131411	0.00961538461538462
NUP62	36	29.0667015131411	0.00961538461538462
SRSF7	36	44.7147663610899	0.0099009900990099
NUP205	34	5.06670151314114	0.00952380952380953
SEC13	34	25.5558561278763	0.00961538461538462
NDC1	32	0.884230797582191	0.00909090909090909
NUP107	32	0.884230797582191	0.00909090909090909
NUP155	32	0.884230797582191	0.00909090909090909
NUP160	32	0.884230797582191	0.00909090909090909
NUP188	32	0.884230797582191	0.00909090909090909
NUP210	32	0.884230797582191	0.00909090909090909
NUP37	32	0.884230797582191	0.00909090909090909
NUP43	32	0.884230797582191	0.00909090909090909
NUP50	32	0.884230797582191	0.00909090909090909
FUS	30	234.622642927248	0.0112359550561798
HNRNPA1	30	120.166416022918	0.0112359550561798
HNRNPA2B1	22	51.6394850720315	0.0106382978723404
OPTN	20	80.0664489277492	0.00952380952380953
NEFL	18	71.6767059050341	0.00826446280991736
BCL2	16	34.7065387828546	0.00961538461538462
NEFH	16	25.7013291146418	0.00806451612903226
APAF1	14	12.4047619047619	0.00952380952380953
PFN1	12	3.33017876516329	0.00826446280991736
XBP1	12	32.1947209653092	0.00900900900900901
ERBB4	10	80.1130775657092	0.00847457627118644
GPX8	10	49	0.00892857142857143
NEFM	10	8.72196498032411	0.0078125
PSMA4	10	3.3	0.008
SLC1A2	10	2.26666666666667	0.0078740157480315
SPG11	10	1.65178406045279	0.00813008130081301
EIF2AK3	8	0	0.00884955752212389
GRIA1	8	21.2140150269407	0.0087719298245614
PSMB3	8	0	0.00775193798449612
PSMB6	8	0	0.00775193798449612
PSMC5	8	0	0.00775193798449612
ANG	6	0	0.00847457627118644
BID	6	0	0.00769230769230769
NRG1	6	5.23571428571429	0.00657894736842105
PRPH	6	0	0.00609756097560976
DCTN2	4	1.08333333333333	0.00699300699300699
DERL1	4	0	0.00740740740740741
NDUFB1	4	0	0.5
NDUFS6	4	0	0.5
NRG3	4	0	0.00602409638554217
NXT2	4	0	0.00657894736842105
UQCR10	4	0	0.5
WIPI1	4	2.34084249084249	0.0072992700729927
ANXA11	2	0	0.0072463768115942
CAT	2	0	0.0062111801242236
DNAH6	2	0	1
DNALI1	2	0	1
MAP2K6	2	0	0.00757575757575758
