#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006952	Defense response	31	1394	0.84	1.51	4.34e-15	9606.ENSP00000159060,9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000259396,9606.ENSP00000265983,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000314299,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000323929,9606.ENSP00000325525,9606.ENSP00000335358,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000385035,9606.ENSP00000394936,9606.ENSP00000410815,9606.ENSP00000437563,9606.ENSP00000450540,9606.ENSP00000472620,9606.ENSP00000496959	NOX3,MPO,HRG,C3,CFHR5,ORM1,HPX,ITIH4,AHSG,CFHR1,CD209,CLEC4M,A2M,KIR3DL2,LCE3B,HP,CD163,CR2,CFHR2,MBL2,VSIG4,HLA-C,CYBB,GP2,C1S,ORM2,B4E1Z4_HUMAN,KLRC3-2,SERPINA3,C5AR2,ITGAM
GO Process	GO:0006956	Complement activation	11	60	1.76	3.22	2.38e-12	9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000385035,9606.ENSP00000410815	C3,CFHR5,CFHR1,CR2,CFHR2,CFHR4,CFHR3,MBL2,VSIG4,C1S,B4E1Z4_HUMAN
GO Process	GO:0006953	Acute-phase response	9	42	1.83	2.8	2.68e-10	9606.ENSP00000259396,9606.ENSP00000266041,9606.ENSP00000273784,9606.ENSP00000323929,9606.ENSP00000348170,9606.ENSP00000352071,9606.ENSP00000363079,9606.ENSP00000394936,9606.ENSP00000450540	ORM1,ITIH4,AHSG,A2M,HP,CD163,MBL2,ORM2,SERPINA3
GO Process	GO:0006955	Immune response	24	1321	0.75	1.1	3.72e-09	9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000265983,9606.ENSP00000266254,9606.ENSP00000314299,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000323929,9606.ENSP00000342215,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000385035,9606.ENSP00000385579,9606.ENSP00000410815,9606.ENSP00000496416,9606.ENSP00000496959	HRG,C3,CFHR5,HPX,TTLL1,CFHR1,CD209,CLEC4M,A2M,KIR2DL3,CR2,CFHR2,CFHR4,CFHR3,MBL2,VSIG4,HLA-C,CYBB,GP2,C1S,KIAA1841,B4E1Z4_HUMAN,CD8B2,ITGAM
GO Process	GO:0002253	Activation of immune response	13	271	1.18	1.7	1.46e-08	9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000385035,9606.ENSP00000410815,9606.ENSP00000437563,9606.ENSP00000472620	C3,CFHR5,CFHR1,CR2,CFHR2,CFHR4,CFHR3,MBL2,VSIG4,C1S,B4E1Z4_HUMAN,KLRC3-2,C5AR2
GO Process	GO:0050778	Positive regulation of immune response	16	502	1.0	1.44	1.46e-08	9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000265983,9606.ENSP00000314299,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000385035,9606.ENSP00000410815,9606.ENSP00000437563,9606.ENSP00000472620,9606.ENSP00000496959	HRG,C3,CFHR5,HPX,CFHR1,CR2,CFHR2,CFHR4,CFHR3,MBL2,VSIG4,C1S,B4E1Z4_HUMAN,KLRC3-2,C5AR2,ITGAM
GO Process	GO:0002376	Immune system process	28	2121	0.62	0.86	2.34e-08	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000265983,9606.ENSP00000266254,9606.ENSP00000314299,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000323929,9606.ENSP00000342215,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000385035,9606.ENSP00000385579,9606.ENSP00000410815,9606.ENSP00000437563,9606.ENSP00000472620,9606.ENSP00000496416,9606.ENSP00000496959	MPO,HRG,C3,CFHR5,HPX,TTLL1,CFHR1,CD209,CLEC4M,A2M,KIR2DL3,HP,CR2,CFHR2,CFHR4,CFHR3,MBL2,VSIG4,HLA-C,CYBB,GP2,C1S,KIAA1841,B4E1Z4_HUMAN,KLRC3-2,C5AR2,CD8B2,ITGAM
GO Process	GO:0050776	Regulation of immune response	19	844	0.85	1.19	2.34e-08	9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000265983,9606.ENSP00000314299,9606.ENSP00000323929,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000385035,9606.ENSP00000410815,9606.ENSP00000421736,9606.ENSP00000437563,9606.ENSP00000472620,9606.ENSP00000496416,9606.ENSP00000496959	HRG,C3,CFHR5,HPX,CFHR1,A2M,CR2,CFHR2,CFHR4,CFHR3,MBL2,VSIG4,C1S,B4E1Z4_HUMAN,CR1L,KLRC3-2,C5AR2,CD8B2,ITGAM
GO Process	GO:0098542	Defense response to other organism	20	989	0.8	1.11	3.14e-08	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000265983,9606.ENSP00000314299,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000335358,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000385035,9606.ENSP00000410815,9606.ENSP00000496959	MPO,HRG,C3,CFHR5,HPX,CFHR1,CD209,CLEC4M,LCE3B,HP,CR2,CFHR2,MBL2,VSIG4,HLA-C,CYBB,GP2,C1S,B4E1Z4_HUMAN,ITGAM
GO Process	GO:0006959	Humoral immune response	12	268	1.15	1.54	1.03e-07	9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000314299,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000356386,9606.ENSP00000356395,9606.ENSP00000363079,9606.ENSP00000363869,9606.ENSP00000385035,9606.ENSP00000410815	HRG,C3,CFHR5,CFHR1,CR2,CFHR2,CFHR4,CFHR3,MBL2,VSIG4,C1S,B4E1Z4_HUMAN
GO Process	GO:0009607	Response to biotic stimulus	22	1375	0.7	0.93	1.71e-07	9606.ENSP00000225275,9606.ENSP00000232003,9606.ENSP00000245907,9606.ENSP00000256785,9606.ENSP00000265983,9606.ENSP00000314299,9606.ENSP00000315477,9606.ENSP00000316228,9606.ENSP00000335358,9606.ENSP00000348170,9606.ENSP00000356024,9606.ENSP00000356385,9606.ENSP00000363079,9606.ENSP00000363868,9606.ENSP00000363869,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000370767,9606.ENSP00000385035,9606.ENSP00000410815,9606.ENSP00000437563,9606.ENSP00000496959	MPO,HRG,C3,CFHR5,HPX,CFHR1,CD209,CLEC4M,LCE3B,HP,CR2,CFHR2,MBL2,ABCA1,VSIG4,HLA-C,CYBB,GP2,C1S,B4E1Z4_HUMAN,KLRC3-2,ITGAM
