#queryIndex	queryItem	stringId	preferredName	annotation
1	ABCA1	9606.ENSP00000363868	ABCA1	Phospholipid-transporting ATPase ABCA1; Catalyzes the translocation of specific phospholipids from the cytoplasmic to the extracellular/lumenal leaflet of membrane coupled to the hydrolysis of ATP. Thereby, participates to phospholipids transfer to apoliproteins to form nascent high density lipoproteins/HDLs. Transports preferentially phosphatidylcholine over phosphatidylserine. May play a similar role in the efflux of intracellular cholesterol to apoliproteins and the formation of nascent high density lipoproteins/HDLs ; Belongs to the ABC transporter superfamily. ABCA family.
2	BCO2	9606.ENSP00000350314	BCO2	Beta,beta-carotene 9',10'-oxygenase; Asymmetrically cleaves beta-carotene at the 9',10' double bond resulting in the formation of beta-apo-10'-carotenal and beta- ionone. Besides beta-carotene, lycopene is also oxidatively cleaved. The apocarotenals formed by this enzyme may be the precursors for the biosynthesis of retinoic acid or exert unknown physiological effects. Belongs to the carotenoid oxygenase family.
3	C3	9606.ENSP00000245907	C3	Complement C3c alpha' chain fragment 1; C3 plays a central role in the activation of the complement system. Its processing by C3 convertase is the central reaction in both classical and alternative complement pathways. After activation C3b can bind covalently, via its reactive thioester, to cell surface carbohydrates or immune aggregates. [C3-beta-c]: Acts as a chemoattractant for neutrophils in chronic inflammation.
4	CD163	9606.ENSP00000352071	CD163	Scavenger receptor cysteine-rich type 1 protein M130; Acute phase-regulated receptor involved in clearance and endocytosis of hemoglobin/haptoglobin complexes by macrophages and may thereby protect tissues from free hemoglobin-mediated oxidative damage. May play a role in the uptake and recycling of iron, via endocytosis of hemoglobin/haptoglobin and subsequent breakdown of heme. Binds hemoglobin/haptoglobin complexes in a calcium-dependent and pH- dependent manner. Exhibits a higher affinity for complexes of hemoglobin and multimeric haptoglobin of HP*1F phenotype than for complexes o [...] 
5	CP	9606.ENSP00000264613	CP	Ceruloplasmin; Ceruloplasmin is a blue, copper-binding (6-7 atoms per molecule) glycoprotein. It has ferroxidase activity oxidizing Fe(2+) to Fe(3+) without releasing radical oxygen species. It is involved in iron transport across the cell membrane. Provides Cu(2+) ions for the ascorbate-mediated deaminase degradation of the heparan sulfate chains of GPC1. May also play a role in fetal lung development or pulmonary antioxidant defense (By similarity).
6	CYBB	9606.ENSP00000367851	CYBB	Cytochrome b-245 heavy chain; Critical component of the membrane-bound oxidase of phagocytes that generates superoxide. It is the terminal component of a respiratory chain that transfers single electrons from cytoplasmic NADPH across the plasma membrane to molecular oxygen on the exterior. Also functions as a voltage-gated proton channel that mediates the H(+) currents of resting phagocytes. It participates in the regulation of cellular pH and is blocked by zinc.
7	FOXRED1	9606.ENSP00000263578	FOXRED1	FAD-dependent oxidoreductase domain-containing protein 1; Required for the assembly of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I). Involved in mid-late stages of complex I assembly.
8	HLA-C	9606.ENSP00000365402	HLA-C	HLA class I histocompatibility antigen, C alpha chain; Antigen-presenting major histocompatibility complex class I (MHCI) molecule with an important role in reproduction and antiviral immunity. In complex with B2M/beta 2 microglobulin displays a restricted repertoire of self and viral peptides and acts as a dominant ligand for inhibitory and activating killer immunoglobulin receptors (KIRs) expressed on NK cells. In an allogeneic setting, such as during pregnancy, mediates interaction of extravillous trophoblasts with KIR on uterine NK cells and regulate trophoblast invasion necessary  [...] 
9	ITIH4	9606.ENSP00000266041	ITIH4	35 kDa inter-alpha-trypsin inhibitor heavy chain H4; Type II acute-phase protein (APP) involved in inflammatory responses to trauma. May also play a role in liver development or regeneration.
10	MRPL37	9606.ENSP00000473980	MRPL37	Mitochondrial ribosomal protein L37; Belongs to the mitochondrion-specific ribosomal protein mL37 family.
11	OSBPL11	9606.ENSP00000296220	OSBPL11	Oxysterol-binding protein-related protein 11; Plays a role in regulating ADIPOQ and FABP4 levels in differentiating adipocytes and is also involved in regulation of adipocyte triglyceride storage. Weakly binds 25- hydroxycholesterol ; Belongs to the OSBP family.
12	SERPINA3	9606.ENSP00000450540	SERPINA3	Alpha-1-antichymotrypsin His-Pro-less; Although its physiological function is unclear, it can inhibit neutrophil cathepsin G and mast cell chymase, both of which can convert angiotensin-1 to the active angiotensin-2.
13	TTLL1	9606.ENSP00000266254	TTLL1	Probable tubulin polyglutamylase TTLL1; Catalytic subunit of the neuronal tubulin polyglutamylase complex. Modifies alpha- and beta-tubulin, generating side chains of glutamate on the gamma-carboxyl groups of specific glutamate residues within the C-terminal tail of alpha- and beta-tubulin (By similarity).
14	ABAT	9606.ENSP00000379845	ABAT	4-aminobutyrate aminotransferase, mitochondrial; Catalyzes the conversion of gamma-aminobutyrate and L-beta- aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively. Can also convert delta-aminovalerate and beta-alanine; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family.
15	ALDH5A1	9606.ENSP00000314649	ALDH5A1	Succinate-semialdehyde dehydrogenase, mitochondrial; Catalyzes one step in the degradation of the inhibitory neurotransmitter gamma-aminobutyric acid (GABA).
16	ANP32A	9606.ENSP00000417864	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A; Implicated in a number of cellular processes, including proliferation, differentiation, caspase-dependent and caspase- independent apoptosis, suppression of transformation (tumor suppressor), inhibition of protein phosphatase 2A, regulation of mRNA trafficking and stability in association with ELAVL1, and inhibition of acetyltransferases as part of the INHAT (inhibitor of histone acetyltransferases) complex. Plays a role in E4F1-mediated transcriptional repression. Belongs to the ANP32 family.
17	ANPEP	9606.ENSP00000300060	ANPEP	Aminopeptidase N; Broad specificity aminopeptidase which plays a role in the final digestion of peptides generated from hydrolysis of proteins by gastric and pancreatic proteases. Also involved in the processing of various peptides including peptide hormones, such as angiotensin III and IV, neuropeptides, and chemokines. May also be involved the cleavage of peptides bound to major histocompatibility complex class II molecules of antigen presenting cells. May have a role in angiogenesis and promote cholesterol crystallization. May have a role in amino acid transport by acting as binding [...] 
