Gene_Symbol,logFC,adjPval,tissue,omic,direction
ARHGAP36,-3.468690914,1.2000000000000001e-29,cortex,mRNA,DOWN
ECEL1,-4.076987926,5.33e-27,cortex,mRNA,DOWN
GABRE,-3.466291658,6.31e-26,cortex,mRNA,DOWN
POMC,-3.454673286,1.17e-25,cortex,mRNA,DOWN
GAL,-3.263269968,5e-23,cortex,mRNA,DOWN
SELE,-3.752412894,5.95e-22,cortex,mRNA,DOWN
TRH,-2.716928015,1.95e-20,cortex,mRNA,DOWN
DIRAS3,-2.049480107,3.37e-20,cortex,mRNA,DOWN
GABRQ,-2.460707718,1.58e-17,cortex,mRNA,DOWN
CSF3,-2.929816455,4.72e-17,cortex,mRNA,DOWN
CALCR,-2.407742386,2.32e-16,cortex,mRNA,DOWN
ANKRD20A9P,-2.064424916,4.55e-15,cortex,mRNA,DOWN
CXCL8,-2.533251755,4.74e-14,cortex,mRNA,DOWN
ESR1,-1.634913259,1.2e-11,cortex,mRNA,DOWN
IRS4,-1.255800669,1.85e-08,cortex,mRNA,DOWN
MYBPH,-2.045859913,1.94e-08,cortex,mRNA,DOWN
MPZ,-1.097919836,3.02e-08,cortex,mRNA,DOWN
CCDC129,-1.608490209,3.92e-08,cortex,mRNA,DOWN
PGR,-1.476022191,6.25e-08,cortex,mRNA,DOWN
MRGPRE,-1.450165261,3.28e-07,cortex,mRNA,DOWN
ZCCHC12,-1.330446448,6.12e-07,cortex,mRNA,DOWN
DOK7,-1.222009747,8.82e-07,cortex,mRNA,DOWN
ARAP3,-1.116907451,1.02e-06,cortex,mRNA,DOWN
IFI6,-0.918033801,1.3e-06,cortex,mRNA,DOWN
TBX3,-1.414874469,1.3e-06,cortex,mRNA,DOWN
IL6,-1.787107195,1.84e-06,cortex,mRNA,DOWN
VWA5B1,-1.602019316,1.84e-06,cortex,mRNA,DOWN
ATP2A1,-1.161308471,2.24e-06,cortex,mRNA,DOWN
MAP3K15,-1.147659271,3.08e-06,cortex,mRNA,DOWN
ADGRG2,-1.364615783,3.18e-06,cortex,mRNA,DOWN
NPEPL1,-0.774506289,3.2e-06,cortex,mRNA,DOWN
LGR6,-1.630091555,3.36e-06,cortex,mRNA,DOWN
DGKK,-1.637760099,8.51e-06,cortex,mRNA,DOWN
GBP4,-0.733307482,9.95e-06,cortex,mRNA,DOWN
CXCL1,-1.636838775,9.95e-06,cortex,mRNA,DOWN
IL1B,-1.775021705,2.17e-05,cortex,mRNA,DOWN
POFUT2,-0.584239687,2.5e-05,cortex,mRNA,DOWN
ABO,-1.153417377,2.9e-05,cortex,mRNA,DOWN
NLRP3,-0.642594961,3.37e-05,cortex,mRNA,DOWN
SIX3,-1.756356544,3.46e-05,cortex,mRNA,DOWN
KNCN,-1.262859029,3.55e-05,cortex,mRNA,DOWN
ANKRD34B,-1.012475344,3.58e-05,cortex,mRNA,DOWN
HTR7,-0.977142746,3.72e-05,cortex,mRNA,DOWN
SCUBE1,-1.174946982,4.71e-05,cortex,mRNA,DOWN
ECE2,-0.676462468,6.12e-05,cortex,mRNA,DOWN
EEF1AKMT4-ECE2,-0.671358386,6.25e-05,cortex,mRNA,DOWN
PXDN,-0.85083429,6.95e-05,cortex,mRNA,DOWN
NRP2,-0.810296807,7.02e-05,cortex,mRNA,DOWN
COLEC11,-1.263811958,7.06e-05,cortex,mRNA,DOWN
ZNF534,-0.65383108,7.18e-05,cortex,mRNA,DOWN
GOLGA2P5,-0.788430937,7.93e-05,cortex,mRNA,DOWN
IGFALS,-0.997635646,8.59e-05,cortex,mRNA,DOWN
CHTF18,-0.847964466,8.59e-05,cortex,mRNA,DOWN
TPH1,-1.050790592,8.59e-05,cortex,mRNA,DOWN
MOV10,-0.695350653,8.59e-05,cortex,mRNA,DOWN
EPHA8,-0.960419843,8.68e-05,cortex,mRNA,DOWN
LINC01572,-0.644838552,9.07e-05,cortex,mRNA,DOWN
GIMAP7,-0.739549705,9.45e-05,cortex,mRNA,DOWN
RTEL1-TNFRSF6B,-0.813259545,9.69e-05,cortex,mRNA,DOWN
TMEM91,-0.505879405,0.000108505,cortex,mRNA,DOWN
TTC25,-0.558640363,0.000110217,cortex,mRNA,DOWN
GOLT1A,-0.911119837,0.0001107,cortex,mRNA,DOWN
CITED1,-0.945434331,0.0001107,cortex,mRNA,DOWN
WDR90,-0.890292491,0.000114441,cortex,mRNA,DOWN
CFAP99,-0.901534402,0.000132873,cortex,mRNA,DOWN
MSTO2P,-0.571142383,0.000136175,cortex,mRNA,DOWN
RYR1,-0.644121737,0.000145059,cortex,mRNA,DOWN
ADGRD1,-0.89572319,0.000145059,cortex,mRNA,DOWN
MGC12916,-0.939136921,0.0001464,cortex,mRNA,DOWN
MIR7161,-0.779145596,0.000157427,cortex,mRNA,DOWN
MYT1,-0.567927623,0.000157427,cortex,mRNA,DOWN
IDUA,-0.808383529,0.000157427,cortex,mRNA,DOWN
HAPLN3,-0.971405218,0.000170161,cortex,mRNA,DOWN
PKD1L3,-0.821407065,0.000187803,cortex,mRNA,DOWN
SLC5A4,-1.176492303,0.000212353,cortex,mRNA,DOWN
AK8,-0.627991483,0.000215405,cortex,mRNA,DOWN
RTEL1,-0.778578907,0.000218138,cortex,mRNA,DOWN
TCHH,-0.650570437,0.000264357,cortex,mRNA,DOWN
NANOGP8,-0.949048954,0.000266854,cortex,mRNA,DOWN
LOC101929719,-1.341244542,0.000270297,cortex,mRNA,DOWN
LY6G5B,-0.940256404,0.000270297,cortex,mRNA,DOWN
KCNK15,-0.910003211,0.000272245,cortex,mRNA,DOWN
PAPLN,-0.805047941,0.000273052,cortex,mRNA,DOWN
LOC100506274,-0.882893887,0.000289176,cortex,mRNA,DOWN
FCHSD1,-0.761246891,0.00030445,cortex,mRNA,DOWN
TTLL3,-0.670370245,0.000307595,cortex,mRNA,DOWN
FTH1P3,-0.903313413,0.000307595,cortex,mRNA,DOWN
TAC1,-1.172715143,0.000319742,cortex,mRNA,DOWN
BRE-AS1,-1.021213329,0.000329965,cortex,mRNA,DOWN
ADAM8,-0.912690447,0.000331553,cortex,mRNA,DOWN
IGSF1,-0.913044732,0.000331553,cortex,mRNA,DOWN
ODF3B,-1.399113658,0.000331553,cortex,mRNA,DOWN
CCDC183,-0.677449311,0.000331553,cortex,mRNA,DOWN
DNAH1,-0.801231515,0.000331553,cortex,mRNA,DOWN
WASH7P,-0.602776885,0.000331553,cortex,mRNA,DOWN
NXPH4,-0.916436325,0.000346973,cortex,mRNA,DOWN
IL13RA2,-1.006266439,0.000356445,cortex,mRNA,DOWN
C19orf71,-0.821089201,0.000356815,cortex,mRNA,DOWN
LINC00265,-0.588614611,0.000365367,cortex,mRNA,DOWN
SLC12A1,-0.831649703,0.000392366,cortex,mRNA,DOWN
LOC105378696,-0.896210564,0.00039945,cortex,mRNA,DOWN
