Gene_Symbol,logFC,adjPval,tissue,omic,direction
PRODH,-1.75724458319356,1.58154519653983e-05,cortex,protein,DOWN
SAA1,8.07503603877539,1.67901070690794e-05,cortex,protein,UP
SORCS2,-1.0623765190861,5.14386463692224e-05,cortex,protein,DOWN
PNPLA8,-0.649780706558367,0.000106644491851413,cortex,protein,DOWN
BPHL,-1.07959456129646,0.000106644491851413,cortex,protein,DOWN
C9,4.53629548739865,0.000106644491851413,cortex,protein,UP
CFB,4.06859908829273,0.000106644491851413,cortex,protein,UP
MBLAC1,0.879781762926546,0.000166349783944966,cortex,protein,UP
ORM1,4.16645973454918,0.000216786591239999,cortex,protein,UP
TPMT,1.30166716182792,0.000219341479252543,cortex,protein,UP
ACOT11,-1.3411959223769,0.000219341479252543,cortex,protein,DOWN
P2RY12,-1.45979273462433,0.000331267888686245,cortex,protein,DOWN
ORM2,3.6701453599526,0.000419899628490375,cortex,protein,UP
D2HGDH,-1.07116462420201,0.000715466545905082,cortex,protein,DOWN
IGKV1D-33,1.96581339716544,0.000715466545905082,cortex,protein,UP
ITIH3,2.75179867952135,0.000715466545905082,cortex,protein,UP
LRG1,3.53382494201273,0.000717472409315262,cortex,protein,UP
RIDA,-0.89598605195901,0.000725441607588652,cortex,protein,DOWN
C3,2.92139396818268,0.000725441607588652,cortex,protein,UP
FGA,3.67931064938275,0.000779773894469581,cortex,protein,UP
C1QBP,-1.36206731375766,0.00111858188393425,cortex,protein,DOWN
HLA-DRB1,2.72333515571296,0.00111858188393425,cortex,protein,UP
CARS2,0.788957489622579,0.00115476518073568,cortex,protein,UP
C8G,2.57709927871177,0.00117215018563675,cortex,protein,UP
CRP,5.88670927404071,0.00135456751273245,cortex,protein,UP
MLST8,-0.417369062992497,0.00141376103329045,cortex,protein,DOWN
C6,2.75090231850771,0.00141376103329045,cortex,protein,UP
S100A9,4.70872983325355,0.00141376103329045,cortex,protein,UP
HDDC2,0.543979019609493,0.00141376103329045,cortex,protein,UP
LSP1,2.79587605436447,0.00141376103329045,cortex,protein,UP
IGHG3,3.3974807405184,0.0014245103657276,cortex,protein,UP
ACY3,-2.1955675718759,0.00144667257203745,cortex,protein,DOWN
PITPNC1,-0.839259631038376,0.00161099494513284,cortex,protein,DOWN
C8A,2.9642198438344,0.00161099494513284,cortex,protein,UP
TYMP,1.82815019864087,0.00174702637360266,cortex,protein,UP
APPL2,-0.528267835971107,0.00185132959816672,cortex,protein,DOWN
LBP,2.36937046667968,0.00202868715802928,cortex,protein,UP
S100A8,4.70459399892481,0.00202868715802928,cortex,protein,UP
TALDO1,0.642714876814852,0.00219681854446928,cortex,protein,UP
EARS2,-0.693155335521666,0.00271498875290352,cortex,protein,DOWN
F9,2.12850804219165,0.00271498875290352,cortex,protein,UP
FPGT,0.95362134820768,0.00271498875290352,cortex,protein,UP
ALDH6A1,-0.72637307599646,0.00271498875290352,cortex,protein,DOWN
SERPINA3,3.4410139471224,0.00271498875290352,cortex,protein,UP
MMP9,2.88368666971569,0.00276097466849375,cortex,protein,UP
MCEE,-1.1108965172499,0.00276097466849375,cortex,protein,DOWN
PYROXD2,-1.51149667625254,0.00282627395307736,cortex,protein,DOWN
C1R,1.85202486558077,0.00303217631874266,cortex,protein,UP
IDH2,-0.797443689526119,0.00303217631874266,cortex,protein,DOWN
PPP2R2B,-0.592997047046069,0.00303725906787729,cortex,protein,DOWN
SAA4,2.67275980582075,0.00303725906787729,cortex,protein,UP
SERPINA1,3.24962081233505,0.00303725906787729,cortex,protein,UP
BRINP1,-0.763784048135688,0.00303725906787729,cortex,protein,DOWN
FOXRED1,-0.703839646257832,0.00311113514067827,cortex,protein,DOWN
PLIN3,1.31532462828498,0.00311113514067827,cortex,protein,UP
C1S,2.17436598096572,0.00311113514067827,cortex,protein,UP
C4BPA,3.06596912493594,0.00311113514067827,cortex,protein,UP
HP,3.00978333092618,0.00311113514067827,cortex,protein,UP
IVD,-0.636378049297067,0.0032234255348142,cortex,protein,DOWN
ADA,1.13648398316658,0.00330686927849181,cortex,protein,UP
MPO,4.1616139684871,0.00330686927849181,cortex,protein,UP
PENK,-1.9347329846646,0.00330686927849181,cortex,protein,DOWN
FGG,2.93300749254747,0.00330686927849181,cortex,protein,UP
CPN1,1.26432598972916,0.00330686927849181,cortex,protein,UP
THEM4,-0.927578497580383,0.00346442340863695,cortex,protein,DOWN
SPP1,1.20446555635653,0.00346442340863695,cortex,protein,UP
ITGAL,0.798617345720068,0.00359522844526793,cortex,protein,UP
MRPL1,-0.611888829084647,0.00359522844526793,cortex,protein,DOWN
MMUT,-0.609613557280673,0.00384579478717197,cortex,protein,DOWN
APCS,5.34932744348186,0.00403052819915131,cortex,protein,UP
CPM,1.30962199214811,0.00403052819915131,cortex,protein,UP
FGB,2.768234329017,0.00403052819915131,cortex,protein,UP
CFI,2.22293745129964,0.00404000823722038,cortex,protein,UP
AGK,-0.556658278528225,0.00435423525995519,cortex,protein,DOWN
SCD5,-0.595708508275433,0.00435423525995519,cortex,protein,DOWN
PIR,0.905996771891932,0.00435423525995519,cortex,protein,UP
CMPK1,0.619091483670307,0.00435423525995519,cortex,protein,UP
HPX,2.90520375369219,0.00435423525995519,cortex,protein,UP
PTPMT1,-0.594288539225432,0.00435423525995519,cortex,protein,DOWN
CFH,2.71990250969104,0.00441242213965959,cortex,protein,UP
ACSF3,0.639026040708242,0.00444200515302294,cortex,protein,UP
SCO1,-0.477442483191057,0.00447119397330369,cortex,protein,DOWN
GSTM4,-2.22551554772656,0.00448429171242258,cortex,protein,DOWN
PNPLA4,-0.583799635657469,0.00457964777952308,cortex,protein,DOWN
SERPINF2,1.94702220875784,0.0046779387420658,cortex,protein,UP
NPC1,-0.608476846199856,0.00488347320100787,cortex,protein,DOWN
GRAP2,0.512320285962737,0.00489634080009222,cortex,protein,UP
ASTN1,-1.02912378521937,0.00513372588678802,cortex,protein,DOWN
