"Gene_Symbol","direction","n_pathways_supporting"
"A1BG","UP",1
"ACTR1B","UP",1
"ACTR2","UP",1
"ADAM10","UP",1
"ADGRE5","UP",1
"AHSG","UP",1
"ALAD","UP",1
"ALDH3B1","UP",1
"ALOX5","UP",1
"AMPD3","UP",1
"ANO6","UP",1
"ANPEP","UP",1
"ANXA2","UP",1
"APEH","UP",1
"APRT","UP",1
"ARG1","UP",1
"ARHGAP45","UP",1
"ARHGAP9","UP",1
"ARPC5","UP",1
"ARSB","UP",1
"ASAH1","UP",1
"ATG7","UP",1
"ATP11B","UP",1
"ATP6V1D","UP",1
"ATP8A1","UP",1
"B2M","UP",1
"BIN2","UP",1
"BPI","UP",1
"BST2","UP",1
"C3","UP",1
"C3AR1","UP",1
"C5AR1","UP",1
"C6orf120","UP",1
"CAB39","UP",1
"CAMP","UP",1
"CAND1","UP",1
"CAP1","UP",1
"CAT","UP",1
"CCT2","UP",1
"CCT8","UP",1
"CD14","UP",1
"CD177","UP",1
"CD36","UP",1
"CD44","UP",1
"CD47","UP",1
"CD53","UP",1
"CD55","UP",1
"CD63","UP",1
"CD68","UP",1
"CHI3L1","UP",1
"CHIT1","UP",1
"CKAP4","UP",1
"CMTM6","UP",1
"CNN2","UP",1
"CPNE1","UP",1
"CPPED1","UP",1
"CR1","UP",1
"CREG1","UP",1
"CST3","UP",1
"CSTB","UP",1
"CTSA","UP",1
"CTSB","UP",1
"CTSC","UP",1
"CTSG","UP",1
"CTSS","UP",1
"CTSZ","UP",1
"CXCR1","UP",1
"CXCR2","UP",1
"CYB5R3","UP",1
"CYBA","UP",1
"CYBB","UP",1
"CYFIP1","UP",1
"DEGS1","UP",1
"DERA","UP",1
"DNAJC3","UP",1
"DOCK2","UP",1
"DSC1","UP",1
"DSG1","UP",1
"DSP","UP",1
"DYNLL1","UP",1
"EEF1A1","UP",1
"ELANE","UP",1
"ENPP4","UP",1
"EPX","UP",1
"ERP44","UP",1
"FABP5","UP",1
"FCER1G","UP",1
"FCGR2A","UP",1
"FGL2","UP",1
"FRK","UP",1
"FTH1","UP",1
"FTL","UP",1
"FUCA2","UP",1
"GCA","UP",1
"GDI2","UP",1
"GGH","UP",1
"GLB1","UP",1
"GLIPR1","UP",1
"GM2A","UP",1
"GMFG","UP",1
"GNS","UP",1
"GOLGA7","UP",1
"GSDMD","UP",1
"GSN","UP",1
"GSTP1","UP",1
"GUSB","UP",1
"HBB","UP",1
"HEXB","UP",1
"HLA-B","UP",1
"HLA-C","UP",1
"HMGB1","UP",1
"HP","UP",1
"HSP90AA1","UP",1
"HSP90AB1","UP",1
"HSPA1A","UP",1
"HSPA1B","UP",1
"HSPA8","UP",1
"HVCN1","UP",1
"IGF2R","UP",1
"IMPDH1","UP",1
"IQGAP1","UP",1
"IQGAP2","UP",1
"ITGAL","UP",1
"ITGAM","UP",1
"ITGAV","UP",1
"ITGAX","UP",1
"ITGB2","UP",1
"JUP","UP",1
"KPNB1","UP",1
"KRT1","UP",1
"LAMP2","UP",1
"LAMTOR3","UP",1
"LCN2","UP",1
"LGALS3","UP",1
"LRG1","UP",1
"LTA4H","UP",1
"LTF","UP",1
"LYZ","UP",1
"MAGT1","UP",1
"MAPK1","UP",1
"MAPK14","UP",1
"MGAM","UP",1
"MME","UP",1
"MMP8","UP",1
"MMP9","UP",1
"MNDA","UP",1
"MOSPD2","UP",1
"MPO","UP",1
"NCKAP1L","UP",1
"NDUFC2","UP",1
"NEU1","UP",1
"NFAM1","UP",1
"NPC2","UP",1
"NRAS","UP",1
"OLR1","UP",1
"ORM1","UP",1
"ORM2","UP",1
"OSTF1","UP",1
"PADI2","UP",1
"PAFAH1B2","UP",1
"PDXK","UP",1
"PECAM1","UP",1
"PGM2","UP",1
"PGRMC1","UP",1
"PIGR","UP",1
"PLD1","UP",1
"PLEKHO2","UP",1
"PPBP","UP",1
"PRCP","UP",1
"PRDX4","UP",1
"PRDX6","UP",1
"PRG2","UP",1
"PRKCD","UP",1
"PRTN3","UP",1
"PSEN1","UP",1
"PSMB1","UP",1
"PSMC2","UP",1
"PSMD12","UP",1
"PTAFR","UP",1
"PTPN6","UP",1
"PTPRC","UP",1
"PTPRJ","UP",1
"PTX3","UP",1
"PYCARD","UP",1
"RAB10","UP",1
"RAB14","UP",1
"RAB18","UP",1
"RAB27A","UP",1
"RAB31","UP",1
"RAB5B","UP",1
"RAB6A","UP",1
"RAP1A","UP",1
"RAP2B","UP",1
"RHOA","UP",1
"RHOG","UP",1
"RNASE2","UP",1
"RNASE3","UP",1
"S100A11","UP",1
"S100A7","UP",1
"S100A8","UP",1
"S100A9","UP",1
"SCAMP1","UP",1
"SDCBP","UP",1
"SELL","UP",1
"SERPINA1","UP",1
"SERPINA3","UP",1
"SERPINB1","UP",1
"SIRPA","UP",1
"SLC2A3","UP",1
"SLCO4C1","UP",1
"SLPI","UP",1
"STING1","UP",1
"STK10","UP",1
"STOM","UP",1
"SVIP","UP",1
"TCIRG1","UP",1
"TICAM2","UP",1
"TMBIM1","UP",1
"TMC6","UP",1
"TMED7-TICAM2","UP",1
"TMEM30A","UP",1
"TMEM63A","UP",1
"TNFRSF1B","UP",1
"TTR","UP",1
"TUBB","UP",1
"TXNDC5","UP",1
"VAMP8","UP",1
"VAPA","UP",1
"VAT1","UP",1
"VCL","UP",1
"XRCC5","UP",1
"YPEL5","UP",1
