"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"hsa03010","Ribosome",2.15280840684502,1.15309894876812e-09,4.05890829966377e-07,167,"6192/6189/9801/6125/54534/6139/6166/51187/6129/6159/6146/10884/6144/6154/6194/6202/6133/6229/100526842/6187/6135/3921/9349/6130/6138/26589/51642/6222/200916/6124/28977/6128/11222/51263/6233/23521/6235/64965/65008/6201/6206/51318/6224/6136/6152/6218/6156/51065/65080/6147/7311/6161/6207/51649/6209/55173/6122/51258/60488/100529097/64968/6164/6132/6157/6175/6204/6223/6137/6231/6160/28957/29074/9045/6143/6170/51650/6188/6193/51373/51023/28998/64979/63931/6210/6158/6176/6208/6181/6173/29088/6134/23107/56945/6191/25873/11224/6230/65993/84311/6205/6217/6228/57129/51081/64951/79590/100529239/6142/6171"
"hsa04060","Cytokine-cytokine receptor interaction",-2.03605648926967,1.99559824975284e-08,3.512252919565e-06,161,"392255/958/768211/3554/3589/94/8795/285613/1441/6347/4055/3625/3570/3563/3592/654/7133/7066/3600/8809/7850/8764/9173/115650/1439/132014/84818/268/3590/2920/8200/8797/3586/2826/9235/3566/3601/8794/3561/8718/8743/8793/3623/8771/3976/3598/5008/5618/50615/3627/2919/3553/3569/3576/1440"
"hsa04080","Neuroactive ligand-receptor interaction",-1.80994461344046,2.8524409531417e-07,3.34686405168626e-05,248,"136/2914/64106/6754/2741/2912/57053/1908/3362/5032/3274/2358/4157/135/116/1392/3973/4923/1394/11054/9934/133/5729/5021/7442/2357/1145/5745/6866/2837/5179/5173/1395/552/5023/56413/2859/7425/2742/9170/1133/6750/1241/4852/2834/6870/1142/2492/1813/2831/1815/57105/2922/3363/5618/3061/6863/799/55879/7200/51083/5443/2564"
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",-2.05510859115685,6.69503557848524e-06,0.000589163130906701,44,"6347/4055/3570/7133/8809/8764/2920/8797/3586/2826/8794/3561/8743/8793/3627/2919/3569/3576"
"hsa04081","Hormone signaling",-1.83056248029766,9.45123131468936e-06,0.000665366684554131,161,"2100/6754/9630/10268/4157/10266/2786/1392/2791/3973/1394/5021/5745/7066/2852/5179/5173/1395/57817/552/268/6750/2834/2492/4881/3690/1813/2784/1815/2984/196883/5618/3061/8471/2099/799/7200/5443"
"hsa05144","Malaria",-2.04389634865348,1.95331803833473e-05,0.000859459936867279,41,"4615/958/3039/3040/100528032/7060/5175/6347/3043/3592/7057/3586/7412/7059/3383/3553/3569/3576/1440/6401"
"hsa04668","TNF signaling pathway",-1.87071695529067,1.89925990142861e-05,0.000859459936867279,109,"2353/8737/7133/3600/8809/6300/602/197259/11035/843/2920/7412/3659/64285/7128/64127/3383/9021/3976/3627/2919/3553/3569/6401"
"hsa04141","Protein processing in endoplasmic reticulum",1.82838231151169,1.72145438924286e-05,0.000859459936867279,165,"3303/1410/3320/3304/3337/10808/3301/55432/7184/22824/9532/7095/7321/84061/3326/3312/5611/5602/80267/4780/258010/3305/3998/55973/7326/6400/1965/7323/29979/51726/3300/165324/10130/4287/27248/11231/6745/6500/5599/9601/10484/56893/3309/821/23471/6747/51128/56886/468/23190/10905/5601/10294"
"hsa04630","JAK-STAT signaling pathway",-1.81553446944338,0.000114224524043415,0.00446744805147581,111,"1441/208/7297/3570/3563/3592/7066/3600/1439/3590/3586/5159/3566/3601/1026/3561/1154/9021/3976/3598/5008/5618/50615/3569/1440"
"hsa04657","IL-17 signaling pathway",-1.90608386966602,0.000132968738802279,0.0046804996058402,68,"6300/132014/84818/2920/8061/7128/225689/3627/2919/3553/3569/3576/1440"
