"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"R-HSA-72766","Translation",2.41325863846469,5.69433542642645e-17,8.66677851902105e-14,270,"6192/6189/1974/3646/1964/9801/6125/1975/54534/6139/6166/6129/6159/1983/1915/60559/6146/8894/84340/10884/6144/6154/6194/6202/8669/6133/6229/1977/1965/6187/6135/3921/9349/6130/6138/4528/26589/51642/6222/26986/200916/6726/6124/28977/6128/11222/51263/6745/6233/1937/23521/6235/2935/64965/65008/6201/6206/51318/9669/10480/6224/9255/6136/6152/6218/6156/51065/65080/6147/23471/7311/6161/2107/6747/9521/1968/55157/6207/51649/8667/6209/55173/6122/51258/60488/64968/6164/8661/5464/7458/6132/6157/6175/6204/6223/6137/58477/1933/6731/9789/6184/6231/6160/28957/29074/90701/9045/6143/6170/51650/6188/219402/6193/51373/51023/8663/28998/64979/63931/6210/6158/6176/6208/6181/55699/6173/29088/6134/23708/23107/29104/56945/6191/51386/25873/51504/6746/118487/11224/6230/65993/6205/6217/6228/57129/6728/51081/54516/8668/64951/79590/6142/6171/29093/10352/8665/23478/8664/6155/6141/6727/27068/4736/2197/6203/124454/6232/79731/51264/55037/1938/6730/9553/85476/6168/7284/6167"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",2.7640783598215,8.31996978402469e-15,6.33149700564279e-12,110,"6192/6189/1974/3646/1964/6125/1975/6139/6166/6129/6159/1983/6146/8894/6144/6154/6194/6202/8669/6133/6229/1977/1965/6187/6135/3921/9349/6130/6138/6222/200916/6124/6128/6233/23521/6235/6201/6206/9669/10480/6224/6136/6152/6218/6156/51065/6147/7311/6161/1968/6207/8667/6209/6122/6164/8661/7458/6132/6157/6175/6204/6223/6137/6231/6160/9045/6143/6170/6188/6193/8663/6210/6158/6176/6208/6181/6173/6134/6191/51386/25873/11224/6230/6205/6217/6228/8668/6142/6171/8665/8664/6155/6141/4736/2197/6203"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",2.70934279022714,7.41231174484624e-14,3.44103507678535e-11,110,"6192/6189/6125/6139/6166/6129/6159/60559/6146/6144/6154/6194/6202/6133/6229/6187/6135/3921/9349/6130/6138/6222/200916/6726/6124/6128/6745/6233/23521/6235/6201/6206/6224/6136/6152/6218/6156/51065/6147/23471/7311/6161/6747/6207/6209/6122/6164/6132/6157/6175/6204/6223/6137/58477/6731/9789/6184/6231/6160/90701/9045/6143/6170/6188/6193/6210/6158/6176/6208/6181/6173/6134/6191/25873/6746/11224/6230/6205/6217/6228/6728/6142/6171/23478/6155/6141/6727/4736/2197/6203/6232/6730/6168/6167"
"R-HSA-72613","Eukaryotic Translation Initiation",2.63946969749156,1.13043202259703e-13,3.44103507678535e-11,117,"6192/6189/1974/3646/1964/6125/1975/6139/6166/6129/6159/1983/6146/8894/6144/6154/6194/6202/8669/6133/6229/1977/1965/6187/6135/3921/9349/6130/6138/6222/26986/200916/6124/6128/6233/23521/6235/6201/6206/9669/10480/6224/6136/6152/6218/6156/51065/6147/7311/6161/1968/6207/8667/6209/6122/6164/8661/7458/6132/6157/6175/6204/6223/6137/6231/6160/9045/6143/6170/6188/6193/8663/6210/6158/6176/6208/6181/6173/6134/6191/51386/25873/11224/6230/6205/6217/6228"
"R-HSA-72737","Cap-dependent Translation Initiation",2.63946969749156,1.13043202259703e-13,3.44103507678535e-11,117,"6192/6189/1974/3646/1964/6125/1975/6139/6166/6129/6159/1983/6146/8894/6144/6154/6194/6202/8669/6133/6229/1977/1965/6187/6135/3921/9349/6130/6138/6222/26986/200916/6124/6128/6233/23521/6235/6201/6206/9669/10480/6224/6136/6152/6218/6156/51065/6147/7311/6161/1968/6207/8667/6209/6122/6164/8661/7458/6132/6157/6175/6204/6223/6137/6231/6160/9045/6143/6170/6188/6193/8663/6210/6158/6176/6208/6181/6173/6134/6191/51386/25873/11224/6230/6205/6217/6228"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression",2.76081534121466,2.25677871203590e-13,5.72469533286441e-11,109,"6192/6189/1974/3646/1964/6125/1975/6139/6166/6129/6159/6146/8894/6144/6154/6194/6202/8669/6133/6229/1977/1965/6187/6135/3921/9349/6130/6138/6222/26986/200916/6124/6128/6233/23521/6235/6201/6206/10480/6224/6136/6152/6218/6156/51065/6147/7311/6161/1968/6207/8667/6209/6122/6164/8661/7458/6132/6157/6175/6204/6223/6137/6231/6160/9045/6143/6170/6188/6193/8663/6210/6158/6176/6208/6181/6173/6134/6191/51386/25873/11224/6230/6205/6217/6228/8668/6142/6171/8665/8664/6155/6141/4736/2197/6203"
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",2.69683689257373,4.107457824578e-13,7.81443851125964e-11,93,"6192/6189/6125/6139/6166/6129/6159/6146/6144/6154/6194/6202/6133/6229/6187/6135/3921/9349/6130/6138/6222/26986/200916/6124/6128/6233/23521/6235/2935/6201/6206/6224/6136/6152/6218/6156/51065/6147/7311/6161/2107/6207/6209/6122/6164/6132/6157/6175/6204/6223/6137/6231/6160/4686/9045/6143/22916/6170/6188/6193/6210/6158/6176/6208/6181/6173/6134/23708/6191/25873/11224/6230/6205/6217/6228"
"R-HSA-168255","Influenza Infection",2.42576857601247,4.00432604023111e-13,7.81443851125964e-11,152,"6192/3303/3320/3304/6189/6125/7514/6139/6166/6129/5611/6159/3841/6146/3843/6144/6154/6194/3839/5903/6202/6133/81929/6229/6187/6135/3921/9349/6130/6138/2926/6222/200916/6124/1213/6128/5433/6233/23521/6235/6201/6206/6224/5431/6136/6152/6218/6156/51065/821/3837/6147/7311/6161/5610/5438/6207/55706/6209/6122/2963/5440/6164/3838/3840/6132/6157/6175/6204/142/6223/6137/6231/6160/9045/6143/6170/6188/1211/6193/5901/6210/6158/6176/6208/6181/3836/6173/6134/6191/7175/25873/11224/6230/9631/6205/6217/6228"
"R-HSA-72689","Formation of a pool of free 40S subunits",2.71685058028069,4.66924626441063e-13,7.89621423825887e-11,99,"6192/6189/3646/1964/6125/6139/6166/6129/6159/6146/6144/6154/6194/6202/8669/6133/6229/6187/6135/3921/9349/6130/6138/6222/200916/6124/6128/6233/23521/6235/6201/6206/10480/6224/6136/6152/6218/6156/51065/6147/7311/6161/6207/8667/6209/6122/6164/8661/6132/6157/6175/6204/6223/6137/6231/6160/9045/6143/6170/6188/6193/8663/6210/6158/6176/6208/6181/6173/6134/6191/51386/25873/11224/6230/6205/6217/6228/8668/6142/6171/8665/8664/6155/6141/4736/2197/6203/6232/6168/6167"
"R-HSA-72764","Eukaryotic Translation Termination",2.66062647806181,7.40400535340268e-13,1.12688961478789e-10,91,"6192/6189/6125/6139/6166/6129/6159/6146/6144/6154/6194/6202/6133/6229/6187/6135/3921/9349/6130/6138/6222/200916/6124/6128/6233/23521/6235/2935/6201/6206/6224/6136/6152/6218/6156/51065/6147/7311/6161/2107/6207/6209/6122/6164/6132/6157/6175/6204/6223/6137/6231/6160/9045/6143/6170/6188/6193/6210/6158/6176/6208/6181/6173/6134/23708/29104/6191/25873/51504/11224/6230/6205/6217/6228"
