"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"hsa04082","Neuroactive ligand signaling",-2.97933949580678,5.94511687817207e-19,6.46036034094699e-17,71,"2741/5582/2743/2783/6532/2890/114/2786/10681/2561/2892/2893/5368/2917/2774/57030/108/6529/2554/6507/9568/2915/2550/2913/9152/57084/6506/6538/2891/8001/2566/2902/64805/140679/5179"
"hsa04723","Retrograde endocannabinoid signaling",-2.90906747412723,2.66787227970239e-19,6.46036034094699e-17,93,"747/5578/221955/23236/4697/22999/51079/5582/4698/2783/2890/4728/4724/114/4696/4722/4718/4711/4729/4700/4701/4726/55967/2786/4713/10681/2561/4702/4704/4720/2892/4714/374291/4712/2893/4719/4695/4716/4709/57030/4725/4705/4723/108/4715/54539/2554/2915/57084/126328/2891/2566/140679"
"hsa04610","Complement and coagulation cascades",2.46839247167123,4.05202654851919e-19,6.46036034094699e-17,54,"735/629/2243/5265/7448/722/731/2266/718/2244/729/3075/733/2147/727/462/3827/3426/716/2158/5340/710/5345/715/2/3053/717/720/713/2162/714/3818/5104/2159/725/730/5627/2161/3078/1191/712/3689"
"hsa00190","Oxidative phosphorylation",-2.77028563009039,1.94070444906182e-15,1.58167412598538e-13,89,"6390/4707/539/10476/7388/7384/509/1537/9377/514/7385/537/6392/4697/51079/1327/4698/1347/6391/54205/4728/4724/9167/4696/4722/4718/4711/4729/4700/4701/4726/55967/4713/4702/4704/4720/4714/374291/4712/4719/4695/1340/4716/4709/9114/4725/4705/4723/4715/54539/535/1350/126328"
"hsa04714","Thermogenesis",-2.44406360046585,1.73479448949179e-13,1.13108600714864e-11,148,"6390/4707/539/5600/10476/7388/7384/509/7249/1537/6300/9377/116228/29078/25915/2475/514/7385/6392/57521/1374/388753/4697/64223/23305/51079/1327/1376/79133/4698/1347/6391/4728/4724/9167/114/4696/4722/4718/4711/4729/4700/4701/4726/55471/55967/4713/4702/4704/4720/4714/374291/4712/4719/4695/1340/51103/4716/4709/65260/4725/4705/4723/108/4715/54539/1350/126328"
"hsa05016","Huntington disease",-2.25336311884524,7.45426132478752e-13,4.05014865313455e-11,203,"5438/2475/7019/514/7385/2877/23236/6392/7416/4697/292/51079/1327/6804/4698/1347/6391/2890/54205/4728/7419/293/4724/9167/4696/4722/4718/4711/4729/4700/4701/4726/55967/4713/4702/4704/4720/2892/4714/374291/4712/2893/4719/291/4695/1340/4716/4709/4725/1742/4705/4723/4715/54539/6507/2915/1350/126328/6506/2891/2902"
"hsa03010","Ribosome",-2.35163160976716,3.81003446270307e-12,1.77438747834457e-10,142,"28973/55173/6166/64951/6232/28957/6157/6231/51649/51116/64432/6167/63931/64963/55168/56945/7818/6192/51021/65080/54948/51069/51073/6182/64981/54534/9553/29074/64965/64976/51081/26589/28977/28998/51373/63875/51642/64928/740/128308/29088/9801/51264/64975/29093/55052/65005/54148/11222/84311/10573/6150/65003/51253/84545/219927/79590/64978/57129/65008"
"hsa05012","Parkinson disease",-2.24802408903959,8.99271177185062e-12,3.66453004702913e-10,180,"6390/817/90550/4707/539/10476/836/7388/7384/57181/509/1537/9377/7417/816/514/7385/201266/9927/6392/25828/7416/815/4697/292/51079/1327/4698/1347/6391/2861/54205/4728/7419/293/4724/9167/4696/4128/4722/4718/4711/5413/4729/4700/4701/4726/55967/4713/4702/4704/4720/4714/374291/4712/4719/291/4695/1340/4716/2774/4709/4725/4705/4723/4715/54539/1350/126328/221074"
"hsa04932","Non-alcoholic fatty liver disease",-2.5193649014474,1.12423057955494e-11,4.07221298816566e-10,97,"3643/6390/4707/5600/836/7388/7384/9370/1537/6300/9377/2932/7385/6392/4697/51079/1327/4698/1347/6391/54205/4728/4724/9167/4696/4722/4718/4711/4729/4700/4701/4726/55967/4713/4702/4704/4720/4714/374291/4712/4719/4695/1340/4716/4709/4725/4705/4723/4715/54539/1350/126328"
"hsa05171","Coronavirus disease - COVID-19",2.09253955198092,6.64649411254294e-11,2.166757080689e-09,156,"735/629/2243/731/2266/718/2244/729/733/2147/727/716/715/51284/717/720/713/2162/714/730/712/2212/1536"
