"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"R-HSA-1428517","Aerobic respiration and respiratory electron transport",-2.95664028783154,8.17629942261186e-29,9.64803331868199e-26,194,"29090/1337/80775/51241/150274/6390/25874/4707/5160/539/5091/25880/10476/7388/7384/509/38/55863/50/2108/3029/54704/2271/1537/9556/9377/122961/9997/2395/84233/116228/4200/5162/81889/79944/152100/29078/25915/51204/514/7385/8604/1431/5163/6392/7416/9016/8803/3052/1737/81689/4697/3420/55245/4967/8402/1738/51079/9054/1327/79133/4698/1347/5164/4191/6391/3419/23410/6341/3421/28976/54205/23530/8802/3954/4728/2806/5165/4724/9167/84300/4696/4722/4718/10873/4711/83733/4729/4700/4701/4726/55471/55967/54902/8050/4713/51295/4702/4704/4720/4714/374291/4712/4719/291/4695/1340/27109/51103/4716/4709/23479/79751/4725/55572/4705/4723/4715/54539/3418/1350/126328/9481/728294"
"R-HSA-1474244","Extracellular matrix organization",2.45050603247085,2.2853729168819e-24,1.34837002096032e-21,164,"340267/1991/1511/4060/2243/1634/7448/2266/4318/54829/2244/7057/2192/999/1277/5340/84034/1303/1307/1311/1278/633/2335/3912/2200/1306/5118/10516/2/3910/1293/1291/3818/4053/3339/11117/80781/1292/2331/6696/3371/3383/1756/90187/7148/1295/1281/7373/1605/4811/1280/4313/3908/22795/1290/2202/3690/4237/871/3689/3683/50509/7276/6383/4239/81578/3687/831/977/176/2199/3915/8425"
"R-HSA-611105","Respiratory electron transport",-2.98969298927243,6.10193893310784e-23,2.40009598035575e-20,118,"29090/1337/80775/51241/150274/6390/4707/25880/7388/7384/55863/2108/1537/9377/9997/2395/84233/116228/152100/29078/25915/51204/7385/8604/6392/3052/4697/55245/8402/51079/9054/1327/79133/4698/1347/4191/6391/6341/28976/54205/3954/4728/2806/4724/9167/84300/4696/4722/4718/4711/83733/4729/4700/4701/4726/55471/55967/54902/4713/51295/4702/4704/4720/4714/374291/4712/4719/4695/1340/51103/4716/4709/23479/79751/4725/55572/4705/4723/4715/54539/1350/126328"
"R-HSA-6798695","Neutrophil degranulation",2.08139840177928,4.46848298530521e-19,1.31820248066504e-16,354,"6280/6279/5004/4353/1991/1511/5005/116844/12/5265/4069/4311/3240/5657/718/4318/6037/5473/57126/3106/3107/4057/10875/1/197/8288/258010/3043/820/10788/383/929/3934/671/1832/290/6590/3848/847/1535/54918/221/6793/2212/567/3689/8826/5337/9725/3683/976/29108/5553/5284/7276/1536/3687/353/1075/1522/427/23526/5788/6278/1476/9535/5777/2512/8673/5873/1116/1823/79792/3958/81567/3684/1828/2950/11240/8904/3728/1520/10312/158747/51411/26578/3146/102/10577/2207/6282/5476/51071/203068/302/4332/10120/2495/3304/10857/5175/948/55313"
"R-HSA-6799198","Complex I biogenesis",-2.95758421170419,2.45791798226987e-17,5.08041693606889e-15,52,"51079/79133/4698/28976/4728/4724/4696/4722/4718/4711/4729/4700/4701/4726/55471/55967/4713/51295/4702/4704/4720/4714/374291/4712/4719/4695/51103/4716/4709/4725/55572/4705/4723/4715/54539/126328"
"R-HSA-112316","Neuronal System",-2.43998018681294,2.58326284884859e-17,5.08041693606889e-15,231,"6505/6812/5577/785/83988/3782/816/9379/94030/5578/814/23236/8499/8224/81539/57669/27092/57502/815/777/9254/5792/22999/2741/6804/5582/2743/9369/2783/9456/6532/2890/2066/27020/59283/6844/58512/2744/3781/114/4128/80331/127833/217/57555/5923/5864/3751/2786/10681/2561/2752/27165/2892/2893/6854/2774/57030/55799/2742/1742/10369/7102/108/7915/6529/2554/6507/9568/2915/2550/6853/18/9066/6506/6538/2891/8001/10368/6857/2566/2571/2902/2572/140679"
"R-HSA-5368287","Mitochondrial translation",-2.9107309332403,3.46251228559711e-17,5.83680642429227e-15,76,"51649/51116/64432/63931/64963/55168/56945/10102/7818/51021/65080/92399/54948/51069/51073/6182/64981/54534/9553/29074/64965/85476/64976/51081/26589/3396/28977/7284/28998/51373/63875/51642/64928/740/128308/29088/9801/51264/64975/29093/55052/65005/54148/11222/90480/84340/10573/54516/6150/65003/51253/84545/219927/79590/64978/57129/65008"
"R-HSA-112315","Transmission across Chemical Synapses",-2.55112514338576,4.17831620137798e-17,6.16301639703253e-15,169,"6505/6812/5577/785/83988/816/5578/814/23236/8499/8224/81539/27092/815/777/9254/22999/2741/6804/5582/2743/2783/6532/2890/2066/27020/59283/6844/2744/114/4128/80331/217/5923/5864/2786/10681/2561/2752/27165/2892/2893/6854/2774/57030/55799/2742/1742/10369/7102/108/7915/6529/2554/6507/9568/2550/6853/18/6506/6538/2891/8001/10368/6857/2566/2571/2902/2572/140679"
"R-HSA-5419276","Mitochondrial translation termination",-2.87384819003554,1.10482372517887e-16,1.43238602934258e-14,71,"51649/51116/64432/63931/64963/55168/56945/7818/51021/65080/92399/54948/51069/51073/6182/64981/54534/9553/29074/64965/64976/51081/26589/3396/28977/28998/51373/63875/51642/64928/740/128308/29088/9801/51264/64975/29093/55052/65005/54148/11222/90480/84340/10573/54516/6150/65003/51253/84545/219927/79590/64978/57129/65008"
"R-HSA-5389840","Mitochondrial translation elongation",-2.86983719504179,1.33527511209902e-16,1.43238602934258e-14,71,"51649/51116/64432/63931/64963/55168/56945/10102/7818/51021/65080/54948/51069/51073/6182/64981/54534/9553/29074/64965/85476/64976/51081/26589/3396/28977/7284/28998/51373/63875/51642/64928/740/128308/29088/9801/51264/64975/29093/55052/65005/54148/11222/90480/10573/6150/65003/51253/84545/219927/79590/64978/57129/65008"
