"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"GO:0002376","immune system process",1.6582680919912,9.52190764186681e-09,2.85085914797492e-05,484,"3689/678/5321/2207/5641/1441/6402/3426/719/5763/972/1075/2335/3597/2059/677/10507/3115/7940/4688/657/2634/928/8165/5914/1785/140885/3428/7410/9976/7852/4973/6480/23369/7157/1026/3113/7048/7805/3122/8519/4055/3673/7057/3127/10524/4208/301/10457/4137/7431/2013/6376/4671/718/10945/5648/4217/730/654/1520/1880/6938/1374/4783/713/3655/2213/2124/6830/811/7706/1536/2281/3383/6604/3133/2643/5970/5663/196/199/4763/5996/5130/2321/1432/5788/1398/5869/710/2034/3109/3936/7334/1524/6198/3707/1385/6387/5802/5781/7126/2923/3958/8546/4088/103/23646/567/6510/10955/7551/5730/5724/5594/1948/9830/3455/284/7704/4035/3059/3554/5371/5925/361/7133/7046/3148/8451/10009/7374/1901/23385/3105/3688/4891/10318/7099/1113/2113/329/5795/5290/8772/1653/7804/4211/4739/6472/4437/604/6672/9181/6662/3071/5789/716"
"GO:0002684","positive regulation of immune system process",1.84036507920198,2.14079864477468e-08,3.20477557122769e-05,225,"3689/5321/2207/5641/3426/719/972/1075/3597/677/3115/2634/5914/140885/3428/7410/23369/1026/3113/7048/7805/3122/3673/7057/3127/10524/4208/301/6376/4671/718/5648/730/1520/1880/1374/713/2213/2124/811/7706/3383/6604/3133/5970/5663/199/4763/5788/710/3109/7334/1524/3707/1385/6387/5802/5781/3958/8546"
"GO:0002682","regulation of immune system process",1.73751249428461,7.62757131087299e-08,7.61231616825124e-05,302,"3689/678/5321/2207/5641/1441/3426/719/972/1075/2335/3597/677/3115/7940/2634/928/5914/140885/3428/7410/23369/1026/3113/7048/7805/3122/3673/7057/3127/10524/4208/301/10457/6376/4671/718/5648/730/1520/1880/1374/713/2213/2124/6830/811/7706/3383/6604/3133/5970/5663/196/199/4763/1432/5788/1398/710/3109/7334/1524/3707/1385/6387/5802/5781/3958/8546/4088/103"
"GO:0006955","immune response",1.7001848772818,2.48044867022455e-07,0.000185661582966308,314,"3689/5321/2207/3426/719/972/1075/10507/3115/7940/4688/657/2634/8165/5914/140885/3428/7410/7852/6480/23369/7157/3113/7805/3122/8519/4055/7057/3127/10524/4208/301/7431/2013/6376/4671/718/5648/4217/730/654/1520/1880/6938/1374/4783/713/2213/6830/7706/1536/3383/3133/2643/5970/5663/196/199/5996/5130/1432/5788/1398/710/3109/3936/7334/1524/6198/6387/5802/5781/7126/2923/3958/8546/4088/103/567/10955/5730/5724/5594/9830/3455/284/4035/3554/5371/361/7133/3148/7374/3105/10318/7099/1113/2113/329/5795/5290/8772/1653/7804/6472/604/6672/9181/3071/5789/716"
"GO:0019882","antigen processing and presentation",2.1508845908454,6.50048199172991e-07,0.000324374051387322,30,"2207/5641/972/3115/1785/3113/3122/7057/3127/1520/2213/811/3383/3133/5869/3109/2923/8546/567"
"GO:0045321","leukocyte activation",1.77915897235321,6.27201399265894e-07,0.000324374051387322,206,"3689/678/5321/2207/972/1075/2335/677/3115/7940/5914/140885/9976/7157/1026/3113/7048/7805/3122/4055/7057/3127/10524/4208/301/10457/4137/2013/6376/718/10945/1880/4783/2213/6830/2281/3383/6604/3133/5663/196/199/5130/5788/3109/3936/1524/3707/5781/3958/8546/4088/567/7551/5730/5724"
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",2.09712952702838,1.09542647152466e-06,0.000409963356968105,14,"2207/5641/972/3115/1785/3113/3122/3127/1520/2213/3109/567"
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",2.09712952702838,1.09542647152466e-06,0.000409963356968105,14,"2207/5641/972/3115/1785/3113/3122/3127/1520/2213/3109/567"
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",2.12859255628185,1.36376621140641e-06,0.000430272092652406,15,"2207/5641/972/3115/1785/3113/3122/7057/3127/1520/2213/3109/567"
"GO:0006935","chemotaxis",1.89545382806247,1.72453744550062e-06,0.000430272092652406,99,"3689/2207/5641/1441/719/972/10507/7852/6480/3673/7057/3685/301/10457/2152/6376/1880/811/199/2321/1432/5355/1398/1524/6387/3084/3958/4088/5724/5594/1948/284/3791/1902/8846/3148/1901/7162/1113/5795"
"GO:0042330","taxis",1.89545382806247,1.72453744550062e-06,0.000430272092652406,99,"3689/2207/5641/1441/719/972/10507/7852/6480/3673/7057/3685/301/10457/2152/6376/1880/811/199/2321/1432/5355/1398/1524/6387/3084/3958/4088/5724/5594/1948/284/3791/1902/8846/3148/1901/7162/1113/5795"
"GO:0002694","regulation of leukocyte activation",1.86542977902068,1.64561288370043e-06,0.000430272092652406,114,"678/5321/972/1075/2335/677/3115/7940/5914/140885/1026/3113/7048/7805/3122/7057/3127/10524/4208/301/10457/1880/2213/6830/6604/3133/196/199/5788/3109/3707/5781/3958/8546"
"GO:0048002","antigen processing and presentation of peptide antigen",2.0678154824861,4.6926749124144e-06,0.00081838448406777,22,"2207/5641/972/3115/1785/3113/3122/3127/1520/2213/811/3133/3109/2923/567"
"GO:0050900","leukocyte migration",1.96251341900354,5.04484473056823e-06,0.00081838448406777,81,"3689/2207/5641/1441/6402/719/972/2059/928/140885/7852/3673/7057/301/2013/6376/1880/3655/811/3383/199/4763/2321/1398/1524/6387/3958"
