"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"R-HSA-3000170","Syndecan interactions",2.01563521335539,1.9271101192935e-05,0.00739999948561329,14,"87/3371/2335/6383/3673/7057/3685/1278/3655"
"R-HSA-2132295","MHC class II antigen presentation",1.94560650128135,2.62060172848594e-05,0.00739999948561329,40,"5641/9632/972/1075/3115/1785/3113/1519/3122/3127/1520"
"R-HSA-6798695","Neutrophil degranulation",1.6904482691956,3.39839241589588e-05,0.00739999948561329,141,"3689/2207/6402/6282/719/1075/140885/4973/8566/12/3685/1992/718/1520/1536/5663/1432/5788/5869/411/4758/3074/6515/2950/427/5689/210/3958/11010/10694/567/1471/5724/10576/5701/23191/5594/963/2665/2040/7133/2799"
"R-HSA-168256","Immune System",1.48125554577986,2.28045360951107e-05,0.00739999948561329,496,"3689/7337/2207/5641/1441/6402/9632/3426/6282/719/972/1075/9180/2335/3597/3115/4688/2634/1785/140885/3428/7410/3709/7132/9976/4973/7157/1026/3113/6059/1519/4927/8566/3122/8519/12/4055/3127/3685/4208/301/5034/4137/1278/7431/1992/10000/718/5648/730/1520/713/2213/811/7706/1536/3383/3133/595/5970/5663/30849/7328/1432/5788/1398/5869/710/411/4758/3074/8554/6515/3109/9972/2950/3936/7334/1385/5781/427/7322/5689/210/2923/7332/3958/11010/4904/4088/103/1848/10694/23646/567/1471/5724/10576/5701/23191/5594/9830/4928/963/3455/7704/2665/23165/3554/5371/2040/9844/7133/5930/10671/2799/3185/9817/3725/1901/7319/5710/5803/208/23385/3105/3688/7099/1113/329/5795"
"R-HSA-202733","Cell surface interactions at the vascular wall",1.90735708226511,5.48206508201516e-05,0.00954975737287041,40,"3689/2207/6402/972/2335/6383/140885/6520/4973/3685/1278/3655"
"R-HSA-166658","Complement cascade",1.94287518220754,0.000166504770593487,0.0173540564656406,12,"3426/719/718/5648/730/713/710"
"R-HSA-381340","Transcriptional regulation of white adipocyte differentiation",1.94242248953193,0.000150504479184501,0.0173540564656406,16,"9968/23054/4023/6604/5970"
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",1.92969680448218,0.00014466209853229,0.0173540564656406,15,"3689/6402/9976/8519/1278/718/2213/3383/3133"
"R-HSA-1474244","Extracellular matrix organization",1.74143526762431,0.000179318608715001,0.0173540564656406,69,"87/3689/3371/2335/6383/2202/3673/7057/3685/5034/1278/4811/5352/1520/3655/4052/3383/5033/5663"
"R-HSA-109582","Hemostasis",1.60873128233053,0.000241674448572213,0.0210498444706397,162,"87/3689/5321/2207/6402/10184/972/2335/928/8165/6383/140885/6520/7410/3709/4973/7157/12/3673/7057/3685/1278/10447/2152/3655/2773/7035/1432/9057/1398/710"
"R-HSA-977606","Regulation of Complement cascade",1.85408772728391,0.000447138298071226,0.0354052234200034,11,"3426/719/718/730/713/710"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling",1.79955621355039,0.000512629926498479,0.0372083888316813,32,"3689/2335/3597/7157/1026/301/1278/7431/3383/595"
"R-HSA-8957275","Post-translational protein phosphorylation",1.79954520144008,0.000606801938740874,0.0396626803950996,35,"3371/2335/6383/8720/5034/5954/718/4052/3488/1356/3912/1471/3487"
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",1.79001186088072,0.000637517250897123,0.0396626803950996,36,"3371/2335/6383/8720/5034/5954/718/4052/3488/1356/3912/1471/3487"
"R-HSA-216083","Integrin cell surface interactions",1.84020858020643,0.000704740748572606,0.0409219461337826,21,"3689/3371/2335/3673/7057/3685/1278/3655/3383"
"R-HSA-76002","Platelet activation, signaling and aggregation",1.66261495566966,0.000965936090808311,0.0494900197114141,71,"87/5321/2207/10184/2335/928/7410/3709/12/7057/1278/10447/2773/1432/1398/710/10672/5781/388"
"R-HSA-1280218","Adaptive Immune System",1.51102246326798,0.000940927016211945,0.0494900197114141,190,"3689/7337/5641/6402/9632/972/1075/3115/4688/1785/3709/9976/3113/1519/3122/8519/3127/3685/1278/10000/718/1520/2213/811/1536/3383/3133/5970/30849/7328/5788/3109/7334/5781/7322/5689/2923/7332"
