"Gene_Symbol","logFC","adjPval"
"ACTN1",4.11680266745029,0.0886222888094416
"ITGB2",3.92172592098917,0.0363947801602039
"ZFP36L2",3.5035568154819,0.273490744174546
"PLA2G4A",3.26048443246762,0.764623668886108
"UBE3A",3.23629251155372,0.822136144276097
"FCER1G",3.2115096196675,0.207656843547543
"LGMN",2.92137164866862,0.706517052962977
"ADCY2",2.8361952425245,0.361243024570232
"CSF3R",2.75783623875652,0.353923730311708
"FOXO4",2.73396718835083,0.526931136104733
"GRIA1",2.7232978507699,0.16397957337023
"SELL",2.55368844043668,0.822136144276097
"SEC24C",2.47542750731739,0.850162098673709
"CENPB",2.44989589079518,0.474595706753042
"CFI",2.44646872600098,0.116101022883705
"CFDP1",2.43235831766501,0.170392326651217
"S100A11",2.36985151576535,0.822136144276097
"LHFPL2",2.35695991790176,0.25969124660757
"THBS2",2.30181817088988,0.306059220008656
"C3AR1",2.28898258196725,0.582648161536262
"PTMS",2.25542109384558,0.681391398980428
"CD74",2.25280111330373,0.193562995272996
"CTSC",2.2367180881465,0.822136144276097
"OSMR",2.2247341244732,1
"KAL1",2.20293621883587,0.417067560815029
"TNC",2.17737786307577,0.872884634774577
"FN1",2.16253789237371,0.499851289386203
"IL13RA1",2.1390278113645,0.0422047819618877
"PHKA1",2.09968184586116,0.213438370418312
"ATP5F1",2.09169665808665,0.822136144276097
"EPS8",2.08874156767283,0.366750561621996
"MED12",2.07116598400729,0.35986446546036
"ZFP36L1",2.05712058588186,0.45973665766962
"SEMA4D",2.04215948659324,0.398788399037035
"CEP57",2.02869264229076,0.316529356764973
"HLA-DPB1",2.01240489065346,0.39436450266902
"SLC39A14",1.98178987591923,0.500594988339642
"LST1",1.96548281941427,0.454108534186676
"CPM",1.95831008100621,0.596909861592319
"NCF2",1.94423179333672,0.438150765374846
"BMPR1A",1.91715325397737,0.822136144276097
"GBP2",1.91600306461239,0.737323385963666
"CD9",1.89314858176922,0.749261737414736
"AKAP1",1.88504601027657,0.64936915159705
"TRAK1",1.88096218859805,0.377115126868217
"RARA",1.86422566966297,0.822136144276097
"CSRP2",1.85583495972307,0.550508358913773
"SDC2",1.85569477199142,0.366750561621996
"CHKA",1.84985696586874,0.822136144276097
"DNM2",1.84678734901427,0.723079717543861
"SIRPA",1.84298334749215,0.5278576938635
"IFI16",1.83713442966133,0.233551329899662
"SLC3A2",1.82068463039402,0.989325765963229
"LMOD1",1.80101444683244,0.328967081295376
"VAV2",1.78962032611978,0.8254385970478
"ITPR2",1.78691088656565,0.629504703967775
"FMO2",1.78686104854503,0.982759738125342
"TNFRSF1A",1.7852566962104,0.579492573119903
"CCT5",1.78423981127025,0.935896021953226
"CLEC2B",1.77778607542477,0.530824414217528
"CXCR4",1.77477608132651,0.347805129696922
"RFC3",1.77228196534487,0.432311122467204
"OLR1",1.76347626846793,0.623175200222288
"ST6GAL1",1.76005139974822,0.379823228854098
"RXRB",1.74740460418362,0.62818316874765
"MBTPS1",1.74713191271064,0.822136144276097
"GPKOW",1.73495742467211,0.15429159691268
"ERH",1.72596541750253,0.338804249979426
"PUM2",1.72446661061809,0.211050708636791
"TP53",1.71719181221856,0.548442261189824
"SFXN3",1.69636991745742,0.822136144276097
"CDKN1A",1.68742964798772,0.550508358913773
"HADHA",1.67637189935623,0.822136144276097
"DR1",1.66095077349215,0.347805129696922
