"ID","Description","NES","pvalue","p.adjust","setSize","core_enrichment"
"GO:0002252","immune effector process",2.47579925290771,1.02591033090656e-30,4.45347674646537e-27,287,"1401/6280/735/4353/1511/3493/1991/3502/629/3123/722/3107/718/3514/3263/729/3106/731/733/3075/3426/3929/716/2147/727/8288/3501/715/335/10875/28452/710/3538/57126/2/259307/3500/28439/713/720/3503/717/3105/714/28388/3122/28394/3383/3078/3958/100423062/28400/51284/8741/383/3689/6891/730/23180/5788/28386/28451/306/725/28448/712/3936/8673/29108/3055/3507/28461/336/1075/972/5873/5777/922/100/3684/2212/567/10384/2209/1636/301/102723168/8832/10312/1794/2207/5580/5553/3683/9103/6778/1191/7409/10859/3606/11151/5336/54518/8482/4192/139818/114770/28984/6850/3956/8417/3494/3848/8547/79415"
"GO:0009060","aerobic respiration",-3.13588861086522,2.65779175377493e-30,5.76873700156849e-27,138,"521/1346/65084/27069/79736/84277/205/5160/506/23530/10105/7381/509/56181/2271/135154/1345/9927/2395/7384/27089/7385/79085/246269/5162/498/10873/6390/57017/513/1738/539/2631/93974/9016/3421/8802/4967/6391/1743/8803/4710/514/23410/54205/4707/1431/7388/1737/10476/388753/522/51079/4191/1327/4697/4728/3418/3419/4724/3420/10632/4701/9167/51103/4696/4713/9377/1329/4714/4711/84300/4719/1347/374291/4729/4700/4702/4722/4704/4720/55753/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/23479/4726/4725/4698/4718/4695"
"GO:0140546","defense response to symbiont",2.25181964820739,4.24051371836668e-30,6.13602335047658e-27,487,"1401/6280/6279/325/735/1511/3493/1991/4069/3502/629/2243/1728/722/5657/2244/3107/6037/718/3263/729/3106/731/733/4057/3075/3512/5473/3426/3929/716/2147/727/3273/3501/820/715/10875/3827/348/710/3934/57126/2/2634/929/3500/713/720/671/1536/283/3503/717/3105/714/3078/3958/7431/51284/383/730/23180/5788/725/8542/1535/4360/712/3687/8673/29108/3055/3507/8942/6590/25939/972/2633/5873/5777/55647/3684/51752/567/2317/2209/4600/301/4641/857/8832/7018/6278/255520/2207/284297/834/4332/84329/1520/6672/6038/1191/2810/7409/6358/445/79792/2161/4792/10859/5919/199/3606/55646/11151/5770/3113/5336/54625/10241/114770/6850/55577/5371/3494/3848/83666/8547/79415/151636/4939/684/10533/28912"
"GO:0006119","oxidative phosphorylation",-3.17003120842231,1.74206896061758e-28,1.89058033951023e-25,100,"521/1346/65084/27069/79736/84277/205/506/10105/7381/509/1345/2395/7384/27089/7385/79085/246269/498/6390/57017/513/1738/539/2631/93974/6391/4710/514/54205/4707/7388/10476/388753/522/51079/1327/4697/4728/4724/10632/4701/9167/51103/4696/4713/9377/1329/4714/4711/84300/4719/1347/374291/4729/4700/4702/4722/4704/4720/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/23479/4726/4725/4698/4718/4695"
"GO:0045333","cellular respiration",-2.99438218798015,5.08613505792486e-27,4.41578245729036e-24,167,"2820/9997/131474/83733/521/1346/65084/27069/79736/84277/205/5160/3052/506/23530/10105/7381/509/56181/2271/135154/1345/9927/2395/7384/27089/7385/79085/246269/5162/4938/113829/498/10873/6390/57017/513/1738/539/2631/93974/9016/3421/8802/4967/6391/1743/8803/4710/514/23410/54205/4707/1431/7388/1737/10476/388753/522/51079/4191/1327/4697/4728/55847/3418/3419/4724/8604/3420/10632/79751/114789/4701/9167/51103/4696/4713/9377/1329/4714/4711/84300/4719/1347/374291/4729/4700/4702/4722/4704/4720/55753/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/23479/4726/4725/4698/4718/4695"
"GO:0009617","response to bacterium",2.4371249931961,8.3880751843136e-27,6.06877239585089e-24,270,"1401/6280/6279/4353/1511/3493/1991/116844/4069/3502/629/2243/3123/4318/1728/722/2244/6037/3240/718/3106/761/4057/3512/5473/3929/2147/8288/84034/3501/820/3934/2634/929/4023/3500/23166/671/283/3503/717/1291/3105/7431/999/11117/6891/306/725/1535/4360/29108/3055/249/3507/19/6590/2633/3684/51752/567/2209/1636/857/2876/7018/6278/2207/284297/5580/834/5553/2289/6038/728/445/79792/4792/10859/5919/3606/1373"
"GO:0006954","inflammatory response",2.34636277801827,3.71003329747881e-26,2.30075064919365e-23,330,"6288/1401/6280/6279/325/5004/1991/12/4069/5005/5265/3123/4318/3240/718/9332/6291/3700/5473/7057/3929/2147/727/820/335/3827/197/348/2/2634/5345/929/4023/3500/6289/2687/23166/720/1536/1291/2335/3818/51284/3689/976/5788/3371/2350/1535/712/1270/8673/29108/3055/3339/1075/2633/5777/4363/922/11343/100/3684/2212/2209/669/196527/301/2876/10312/5580/834/8639/3683/9103/1191/5354/728/6358/445/79792/2161/4792/5919/199/3606/10162/50848/23607/5336/8482/4192/8717/114770/3603/6850/3956/3848/240/2950/1687/7442"
"GO:0015980","energy derivation by oxidation of organic compounds",-2.73345276184492,1.80089876029442e-25,9.77212689804758e-23,224,"515/5837/30968/3795/2820/9997/131474/83733/521/1346/65084/27069/79736/84277/205/5160/3052/2932/506/23530/10105/7381/509/56181/2271/3643/135154/1345/9927/2395/7384/27089/7385/79085/246269/5162/9852/4938/113829/498/10873/6390/57017/513/1738/539/2631/93974/9016/3421/8802/4967/5257/6391/1743/8803/4710/514/5260/23410/7957/54205/4707/1431/7388/1737/10476/388753/522/51079/4191/4504/1327/4697/2997/4728/55847/3418/3419/4724/8604/3420/10632/79751/114789/4701/9167/51103/4696/4713/9377/1329/4714/4711/84300/4719/1347/374291/4729/4700/4702/4722/5255/4704/4720/55753/4712/126328/4709/4716/55967/4705/4723/4715/1340/54539/23479/4726/178/4725/4698/4718/4695"
"GO:0002250","adaptive immune response",2.50621712207808,1.12322580181981e-24,5.21283033078951e-22,193,"735/3493/3502/2243/3123/722/2244/3107/718/3514/3263/729/3106/731/733/3512/3426/716/727/28896/28803/3501/715/3127/28452/710/3538/259307/3500/28439/713/720/3503/717/3105/714/28388/3122/28394/3383/100423062/28400/8741/383/6891/730/23180/6890/5788/28386/28451/725/28448/712/29108/3507/28461/1075/972/5873/5777/100/51752/2212/567/10384/2209/301/28773/102723168/8832/10312/2207/5580/9103/6778/1520/1191/10859/5321/3606/28877"
"GO:0050776","regulation of immune response",2.20631232065967,1.2008362890554e-24,5.21283033078951e-22,430,"6280/6279/735/1511/3493/1991/3502/629/3123/722/3107/718/3514/3263/729/3106/731/733/4057/3075/259/3426/3929/716/727/3273/3501/715/10875/3127/1/348/710/57126/2/2634/259307/929/3500/713/720/3503/717/3105/714/3122/3078/3958/51284/1281/8741/383/3689/6891/730/23180/5788/725/1535/712/29108/3055/3507/25939/972/2633/5777/922/100/3684/51752/2212/3937/567/10384/2209/301/5284/857/2876/2207/5580/834/4332/9103/6778/1520/1191/2810/7409/728/4792/10859/5321/3606/55646/23607/5770/3113/5336/54625/114770/581/28984/6850/3956/5795/55577/8417/3494/3848/83666/8547"
