"Gene_Symbol","logFC","adjPval"
"SAA1",8.37803320459313,1.31204460468821e-05
"CRP",5.78639760936032,0.00206589708442527
"S100A9",4.38654564197893,0.00349034070418489
"MYH7",4.30998983831714,0.0429763878449077
"S100A8",4.29568224711388,0.00630570947066884
"APCS",4.23982577451193,0.0269535462050828
"C9",3.954434200655,0.000911364975653027
"MPO",3.89737245462223,0.00869144531393956
"IGKV3-11",3.78713417270497,0.0198422604347506
"ORM1",3.67387763883086,0.00126668993242097
"MPZ",3.66727848689833,0.33437388418394
"CTSG",3.53348705348235,0.0178227380912881
"IGHA1",3.41407888370268,0.027328777997485
"ELANE",3.39365441461132,0.0315443308410022
"PRX",3.37778371234562,0.315254338891942
"LRG1",3.32991733973543,0.00171608753807437
"SERPINA3",3.32543572131089,0.00481601076149044
"LYZ",3.2491397328097,0.0264834605611339
"IGHG3",3.24733201388732,0.00314536759011681
"CFB",3.24140074892387,0.00225240815421283
"ORM2",3.09978588333046,0.00314536759011681
"LSP1",3.06237443556649,0.000750780822344059
"MB",2.93290484828458,0.12551345807154
"SERPINA1",2.88179747581622,0.00969371673496565
"FGA",2.87254677746133,0.00916793311603189
"HLA-DRB1",2.84103464209592,0.000893577671309511
"LUM",2.78121585246654,0.313461802767091
"MMP9",2.76926563609531,0.00517857199981344
"NQO1",2.64145735701491,0.237434741350958
"C4BPA",2.62330536085432,0.0131070552605153
"PRTN3",2.61002823241919,0.0287026633513182
"COL28A1",2.50873903466364,0.292675034059673
"FGB",2.48827656060871,0.0114479780763783
"FGG",2.48436418373098,0.0152845228122847
"HLA-C",2.47226073268201,0.0377454518609556
"RNASE3",2.46918332974661,0.0318183902303468
"NA",2.46640567640883,0.00915610425881052
"HP",2.4590143385754,0.0180908474060927
"OGN",2.42003906653434,0.409581738043034
"APOH",2.41860336169258,0.0377454518609556
"MYL2",2.34800735916749,0.136316876633185
"C3",2.32361191659033,0.0087384453114778
"VTN",2.30953341352572,0.0644353569481964
"TYMP",2.28221036383496,0.000215909296843116
"ITIH3",2.28206044893574,0.00517857199981344
"IGKC",2.26796935287568,0.0292432500326729
"CD163",2.25464810433299,0.0250969985984746
"HPX",2.22022717256874,0.0339645111760267
"C6",2.21825691757717,0.010923831135306
"DCN",2.1966296401105,0.375004655914577
"SAA4",2.16224307509348,0.0185513673607691
"ITIH4",2.15306618376596,0.0363016599273841
"HLA-B",2.15112557434638,0.00931245219451135
"CA3",2.14637289149193,0.148423019434446
"PLIN2",2.14348485642231,0.112632262172695
"C8A",2.1322174675195,0.0257019987961915
"CKM",2.12804250619232,0.220845270433452
"C8G",2.08557252711364,0.00915610425881052
"LTF",2.0724240577035,0.114269435093895
"ASPN",2.02676150003193,0.448893921728092
"CFH",2.02447217189073,0.0389045722231351
"COL1A1",2.01635529749541,0.442914144631366
"AMBP",2.01287843373507,0.129581247596785
"S100A4",1.99474755423625,0.037991818107561
"IQGAP2",1.95503867908418,0.016969105006159
"JCHAIN",1.9447840139916,0.039242224361504
"PPBP",1.94081780444529,0.0619935649029396
"CFI",1.93817149344962,0.0142025441243236
"THBS1",1.93013482021441,0.1714982856305
"LBP",1.92246451048285,0.0131070552605153
"TGFBI",1.91392846328529,0.216955002275542
"F9",1.88189204458454,0.00915610425881052
"GC",1.84181369044372,0.0659539407538292
"C1S",1.81644167199525,0.015298009265666
"F2",1.7991323850555,0.109524545223952
"ADH1B",1.7987554985518,0.304435895718494
"C5",1.7930523427893,0.06105963411142
"HRG",1.79254100990933,0.14659716478252
"EPX",1.780455373702,0.21600792342502
"COL1A2",1.76011686508755,0.470709673231944
"FCGBP",1.73322722683884,0.0701555248294044
"PRELP",1.72949372999996,0.508051150995399
"IGKV1D-33",1.7261386114659,0.00314536759011681
"IGLV3-10",1.69877211770839,0.0561191213567778
"EMILIN2",1.69401098303856,0.0315885087507525
"IGHG2",1.68208281852474,0.124900394803576
"CP",1.65709952782969,0.0451276491588058
"CAMP",1.64934854319055,0.0159751522768199
"TNNC1",1.6452141829716,0.037991818107561
"SERPINF1",1.64367437704101,0.212366423328658
"MME",1.63621265429236,0.423810669869909
"PRG4",1.6333459134329,0.148167394231813
"DRP2",1.61471350347738,0.348946843884408
"FERMT3",1.60026524477026,0.0102889431358438
"C1R",1.59550526960207,0.0114479780763783
"APOA1",1.5840740561243,0.373569125560321
"FGL2",1.57398089406198,0.330076048353737
"SERPINC1",1.56425418466112,0.230125014115377
"KNG1",1.56133296816073,0.18982482063622
"HLA-DRB5",1.54980082438105,0.00971971638159165
"A1BG",1.53790174467894,0.0900419114582075
"SPTA1",1.52800519681513,0.253789920004342
"SLC4A1",1.49675601153987,0.272886011468294
"IGHV3-7",1.48544782443919,0.113677252719064
"AHSG",1.48221921500815,0.230503914900092
"APOE",1.48033851976096,0.0242990089992697
"SERPING1",1.47499259349746,0.153219988781872
"GPNMB",1.47037622660639,0.193966458484739
