"Gene_Symbol","Entrez"
"ACTN1","87"
"ITGB2","3689"
"ZFP36L2","678"
"PLA2G4A","5321"
"UBE3A","7337"
"FCER1G","2207"
"LGMN","5641"
"ADCY2","108"
"CSF3R","1441"
"FOXO4","4303"
"GRIA1","2890"
"SELL","6402"
"SEC24C","9632"
"CENPB","1059"
"CFI","3426"
"CFDP1","10428"
"S100A11","6282"
"LHFPL2","10184"
"THBS2","7058"
"C3AR1","719"
"PTMS","5763"
"CD74","972"
"CTSC","1075"
"OSMR","9180"
"TNC","3371"
"FN1","2335"
"IL13RA1","3597"
"PHKA1","5255"
"EPS8","2059"
"MED12","9968"
"ZFP36L1","677"
"SEMA4D","10507"
"CEP57","9702"
"HLA-DPB1","3115"
"SLC39A14","23516"
"LST1","7940"
"CPM","1368"
"NCF2","4688"
"BMPR1A","657"
"GBP2","2634"
"CD9","928"
"AKAP1","8165"
"TRAK1","22906"
"RARA","5914"
"CSRP2","1466"
"SDC2","6383"
"CHKA","1119"
"DNM2","1785"
"SIRPA","140885"
"IFI16","3428"
"SLC3A2","6520"
"LMOD1","25802"
"VAV2","7410"
"ITPR2","3709"
"FMO2","2327"
"TNFRSF1A","7132"
"CCT5","22948"
"CLEC2B","9976"
"CXCR4","7852"
"RFC3","5983"
"OLR1","4973"
"ST6GAL1","6480"
"RXRB","6257"
"MBTPS1","8720"
"GPKOW","27238"
"ERH","2079"
"PUM2","23369"
"TP53","7157"
"SFXN3","81855"
"CDKN1A","1026"
"HADHA","3030"
"DR1","1810"
"HLA-DPA1","3113"
"IQCB1","9657"
"TGFBR2","7048"
"ABCE1","6059"
"HIP1","3092"
"EFEMP1","2202"
"CTSO","1519"
"STC1","6781"
"NCBP2","22916"
"ZNF22","7570"
"NUP88","4927"
"LAPTM5","7805"
"PRKX","5613"
"PDXK","8566"
"HLA-DRA","3122"
"IFITM1","8519"
"SERPINA3","12"
"LTBR","4055"
"NFIX","4784"
"ITGA2","3673"
"THBS1","7057"
"HLA-DRB5","3127"
"SLC25A11","8402"
"CD163","9332"
"ITGAV","3685"
"DNMT1","1786"
"NCOA6","23054"
"KLF3","51274"
"EMG1","10436"
"KAT5","10524"
"TGFBI","7045"
"MEF2C","4208"
"RBPMS","11030"
"TM4SF1","4071"
"ANXA1","301"
"NIPA2","81614"
"GPNMB","10457"
"P4HB","5034"
"PKN2","5586"
"MAPT","4137"
"TAF13","6884"
"COL1A2","1278"
"VIM","7431"
"ARHGDIB","397"
"RCN1","5954"
"SERPINB1","1992"
"NID1","4811"
"AKT3","10000"
"TUFM","7284"
"FAM3C","10447"
"PLOD2","5352"
"RCAN1","1827"
"POLD3","10714"
"PTPRF","5792"
"EMP2","2013"
"F3","2152"
"TCEAL1","9338"
"CX3CL1","6376"
"TOB1","10140"
"NAIP","4671"
"MTMR3","8897"
"EMP1","2012"
"CDR2L","30850"
"SF1","7536"
"LPL","4023"
"ZNF45","7596"
"C3","718"
"KDELR1","10945"
"MASP1","5648"
"MAP3K5","4217"
"PRDX3","10935"
"NDUFA9","4704"
"ZNF160","90338"
"C7","730"
"HELZ","9931"
"BMP6","654"
"TEAD1","7003"
"CTSS","1520"
"BCL9","607"
"OXA1L","5018"
"GPR183","1880"
"TCF12","6938"
"ATP13A3","79572"
"CPT1A","1374"
"TTLL4","9654"
"APOC1","341"
"NFIL3","4783"
"C1QB","713"
"ITGA6","3655"
"FCGR2B","2213"
"DTNA","1837"
"EVI2B","2124"
"HMGA1","3159"
"TMEM151B","441151"
"DAP","1611"
"SCARB1","949"
"SCP2","6342"
"SUPT6H","6830"
"CALR","811"
"TRIM25","7706"
"SNX19","399979"
"CYBB","1536"
"GNAI3","2773"
"FKBP1B","2281"
"ID3","3399"
"ZFX","7543"
"LTBP1","4052"
"ICAM1","3383"
"SMARCD3","6604"
"HLA-E","3133"
"P4HA1","5033"
"R3HDM1","23518"
"ANXA7","310"
"CCND1","595"
"GCH1","2643"
"CYP2J2","1573"
"RELA","5970"
"PSEN1","5663"
"AHR","196"
"PTPRG","5793"
"NNT","23530"
"RBM42","79171"
"TUBG1","7283"
"NEK3","4752"
"PIK3R4","30849"
"TTF1","7270"
"PHKG2","5261"
"AIF1","199"
"RAB2A","5862"
"KCNN3","3782"
"SEL1L","6400"
"PSEN2","5664"
"TM9SF4","9777"
"MTMR2","8898"
"CYP27A1","1593"
"SND1","27044"
"SLC6A11","6538"
"EXOSC7","23016"
"MLC1","23209"
"NF1","4763"
"POLR2J","5439"
"RGS1","5996"
"RPS18","6222"
"KCNA3","3738"
"UBE2H","7328"
"PCYT1A","5130"
"TFPI","7035"
"FLT1","2321"
"CSTF1","1477"
"AQP1","358"
"HNMT","3176"
"NR6A1","2649"
"MAPK14","1432"
"GSTM5","2949"
"PTPRC","5788"
"PLP2","5355"
"NR2F6","2063"
"RAB28","9364"
"ABCD3","5825"
"SLC7A6","9057"
"CRK","1398"
"IGFBP5","3488"
"RAB5B","5869"
"REST","5978"
"HK2","3099"
"RTF1","23168"
"SERPING1","710"
"ARSB","411"
"NDUFV2","4729"
"NEU1","4758"
"EPAS1","2034"
"RPL36AL","6166"
"AFF2","2334"
"UBL4A","8266"
"HEXB","3074"
"GCLM","2730"
"PIAS1","8554"
"SLC2A3","6515"
"HLA-DMB","3109"
"MT1E","4493"
"NUP153","9972"
"SUOX","6821"
"CALD1","800"
"FOXN3","1112"
"GSTP1","2950"
"PGD","5226"
"PPP2R2B","5521"
"DRP2","1821"
"ID4","3400"
"LCP1","3936"
"MNX1","3110"
"MTMR1","8776"
"STT3A","3703"
"PAX6","5080"
"UBE2N","7334"
"PIGB","9488"
"ARF6","382"
"ME2","4200"
"CX3CR1","1524"
"USF2","7392"
"TWF1","5756"
"MYH10","4628"
"TK2","7084"
"MAPK4","5596"
"MAP2","4133"
"RPS6KB1","6198"
"ITPKB","3707"
"HMGN3","9324"
"CREB1","1385"
"SNRPC","6631"
"CXCL12","6387"
"PTPRS","5802"
"NRG1","3084"
"GNA13","10672"
"ME3","10873"
"PTPN11","5781"
"CACNA1D","776"
"ASAH1","427"
"TNFAIP1","7126"
"UBE2D2","7322"
"PSMB1","5689"
"ALAD","210"
"RPL12","6136"
"PDIA3","2923"
"B4GALNT1","2583"
"UBE2L3","7332"
"EIF3B","8662"
"LGALS3","3958"
"MRPL3","11222"
"MGP","4256"
"AP3B1","8546"
"APEX1","328"
"TJP2","9414"
"GLIPR1","11010"
"YBX1","4904"
"SMAD3","4088"
"ADAR","103"
"NFX1","4799"
"PCCB","5096"
"RALGDS","5900"
"NCOA4","8031"
"MGAT2","4247"
"HOXD10","3236"
"EYA2","2139"
"APPBP2","10513"
"RHOB","388"
"RGN","9104"
"LMO2","4005"
"DUSP6","1848"
"CCT8","10694"
"PLD3","23646"
"HINT1","3094"
"CP","1356"
"B2M","567"
"LAMB1","3912"
"SLC1A5","6510"
"CST3","1471"
"HEXA","3073"
"IGFBP4","3487"
"PABPC1","26986"
"TERF1","7013"
"SERINC3","10955"
"ZNF3","7551"
"TFDP2","7029"
"RER1","11079"
"ALDH1A1","216"
"ZIC1","7545"
"CCND2","894"
"PFKM","5213"
"SYP","6855"
"MCFD2","90411"
"OCRL","4952"
"PTGDS","5730"
"DAP3","7818"
"PTAFR","5724"
"WRN","7486"
"MAOB","4129"
"TCEA2","6919"
"KCNA4","3739"
"RBM5","10181"
"DAG1","1605"
"INPP1","3628"
"CKB","1152"
"MYL6B","140465"
"CCT2","10576"
"PSMC2","5701"
"CYFIP1","23191"
"SLC20A2","6575"
"ARSD","414"
"SRI","6717"
"FAM168A","23201"
"MAPK1","5594"
"PMP2","5375"
"XRCC1","7515"
"EFNB2","1948"
"TRIM14","9830"
"LBR","3930"
"NUP98","4928"
"CD53","963"
"SIK1","150094"
"KRT10","3858"
"EPHA4","2043"
"YAP1","10413"
"IFNAR2","3455"
"PROCR","10544"
"TSNAX","7257"
"MAGI1","9223"
"ANGPT1","284"
"ETS2","2114"
"ACVR2B","93"
"TSN","7247"
"GTF2E2","2961"
"CHN2","1124"
"SALL1","6299"
"ZBTB16","7704"
"RRAGB","10325"
"SLC35F2","54733"
"LRP1","4035"
"POLR2C","5432"
"GDI2","2665"
"GAP43","2596"
"ESRRA","2101"
"HCLS1","3059"
"STK3","6788"
"NUP205","23165"
"PBXIP1","57326"
"RND3","390"
"F8","2157"
"AEBP1","165"
"IL1R1","3554"
"TFCP2","7024"
"POLR2A","5430"
"PML","5371"
"ADK","132"
"RPL14","9045"
"EIF5A","1984"
"STOM","2040"
"ELMO1","9844"
"POLR2B","5431"
"ZNF117","51351"
"SLC14A1","6563"
"RPS5","6193"
"RB1","5925"
"KDR","3791"
"AQP4","361"
"LAMA2","3908"
"SNRPD3","6634"
"TNFRSF1B","7133"
"TMEM41B","440026"
"NTRK2","4915"
"ETV5","2119"
"LPAR1","1902"
"RBBP6","5930"
"AFF3","3899"
"TGFBR1","7046"
"PENK","5179"
"CTTN","2017"
"ALKBH1","8846"
"PTPRA","5786"
"HMGB2","3148"
"DCTN6","10671"
"NT5E","4907"
"GNS","2799"
"AK1","203"
"TMED9","54732"
"MARCKS","4082"
"CUL4A","8451"
"RPS15","6209"
"ZBTB33","10009"
"DHX8","1659"
"THBD","7056"
"UNG","7374"
"ATXN10","25814"
"HNRNPF","3185"
"RPS16","6217"
"KEAP1","9817"
"GATM","2628"
"JUN","3725"
"S1PR1","1901"
"SPA17","53340"
"SLC25A13","10165"
"UBE2A","7319"
"PSMD4","5710"
"PTPRZ1","5803"
"AKT2","208"
"NCSTN","23385"
"CNTNAP1","8506"
"TPBG","7162"
"HLA-A","3105"
"ABR","29"
"RPS4Y1","6192"
"ANXA11","311"
"PDK3","5165"
"RGS4","5999"
"DENND4A","10260"
"CA2","760"
"SLC6A1","6529"
"OAT","4942"
"HOXB5","3215"
"ITGB1","3688"
"SLC11A2","4891"
"TNIP1","10318"
"TLR4","7099"
"PRPS1","5631"
"CHGA","1113"
"SOX5","6660"
"ETS1","2113"
"BIRC2","329"
"ADCY8","114"
"PTPRJ","5795"
"SLC35B1","10237"
"XIST","7503"
"KANK1","23189"
"PRKAR2B","5577"
"CTNNA2","1496"
"PIK3CA","5290"
"P2RY1","5028"
"KRIT1","889"
"GTF2H1","2965"
"ATP2B2","491"
"ATP2B4","493"
"DFFA","1676"
"PDE3B","5140"
"MPHOSPH9","10198"
"RPP30","10556"
"IFT88","8100"
"FADD","8772"
"MLH3","27030"
"MTM1","4534"
"SNX1","6642"
"RNF4","6047"
"DDX1","1653"
"PPP2R5C","5527"
"LRP8","7804"
"MEIS1","4211"
"PCBD1","5092"
"NEDD9","4739"
"MGST1","4257"
"TATDN2","9797"
"NMT1","4836"
"LAMC1","3915"
"CLTA","1211"
"MAL","4118"
"EIF2S1","1965"
"TAF4B","6875"
"SHMT2","6472"
"NPC2","10577"
"CLK2","1196"
"GSTM3","2947"
"USP8","9101"
"MSH3","4437"
"BCL6","604"
"ACP1","52"
"PFKP","5214"
"SP100","6672"
"CTNND2","1501"
"MDM4","4194"
"ARHGEF2","9181"
"IL11RA","3590"
"RAD23A","5886"
"MLLT11","10962"
"SOX9","6662"
"RPLP1","6176"
"ITPR1","3708"
"OXTR","5021"
"NPR2","4882"
"TCEA1","6917"
"INPP5A","3632"
"NCKAP1L","3071"
"PTPRD","5789"
"C1S","716"
"HADHB","3032"
"PMVK","10654"
"SPTLC2","9517"
"RPL7L1","285855"
"BGN","633"
"CACNA2D1","781"
"FOXK2","3607"
"CHM","1121"
"PLCB4","5332"
"CNN3","1266"
"LIG1","3978"
"DDX21","9188"
"CAPRIN1","4076"
"SPARC","6678"
"GTF2F1","2962"
"SLC25A46","91137"
"SLC6A6","6533"
"CDK6","1021"
"SNRNP27","11017"
"AGL","178"
"ARPC1B","10095"
"HSPB1","3315"
"MSH2","4436"
"SS18","6760"
"RBBP4","5928"
"KRR1","11103"
"SUCLG1","8802"
"RPS25","6230"
"RIT1","6016"
"ADORA3","140"
"GSPT1","2935"
"EXOSC9","5393"
"EIF4E","1977"
"ACVR2A","92"
"MAPKAPK2","9261"
"CASP3","836"
"CD164","8763"
"FTL","2512"
"ADCYAP1R1","117"
"TCF4","6925"
"RRS1","23212"
"GLRX","2745"
"NET1","10276"
"ADH5","128"
"TLE4","7091"
"EEF1A1","1915"
"NEK9","91754"
"DYRK1A","1859"
"CD93","22918"
"LAMA4","3910"
"NRIP1","8204"
"MAP2K3","5606"
"APLNR","187"
"PTPN21","11099"
"DNTTIP2","30836"
"ZNF711","7552"
"ARHGEF6","9459"
"TRIM22","10346"
"POLR3C","10623"
"GATAD1","57798"
"BZW1","9689"
"SLC25A5","292"
"VRK2","7444"
"GCLC","2729"
"LOXL2","4017"
"SETMAR","6419"
"SORL1","6653"
"PIGK","10026"
"A2M","2"
"APLP2","334"
"VCAM1","7412"
"ACAT1","38"
"ARHGAP11A","9824"
"SEPHS1","22929"
"SSR1","6745"
"RBP1","5947"
"ADM","133"
"ME1","4199"
"PON2","5445"
"PSAP","5660"
"NFYC","4802"
"GPM6A","2823"
"DDX10","1662"
"CD47","961"
"ARID4A","5926"
"CBX3","11335"
"CCL2","6347"
"ARHGEF12","23365"
"BNIP2","663"
"ARF5","381"
"BMPR1B","658"
"ALDH2","217"
"CTSA","5476"
"MCL1","4170"
"ATIC","471"
"DPYSL3","1809"
"RAB31","11031"
"ALDH18A1","5832"
"NAP1L4","4676"
"NDN","4692"
"SGCA","6442"
"EDEM1","9695"
"ZBTB6","10773"
"KLF10","7071"
"IQGAP1","8826"
"CTNNA1","1495"
"RNF144A","9781"
"RAB33A","9363"
"MYO1E","4643"
"IL4R","3566"
"PTPRK","5796"
"PSMB2","5690"
"CDK2","1017"
"ADAM9","8754"
"SNRPD1","6632"
"VAMP2","6844"
"CRYZ","1429"
"UCHL3","7347"
"IGBP1","3476"
"ERCC3","2071"
"MCM3","4172"
"GPD2","2820"
"ANXA2","302"
"GOLGA2","2801"
"PCBP2","5094"
"SDC4","6385"
"PRKAR1B","5575"
"LITAF","9516"
"CCT7","10574"
"STXBP3","6814"
"RPS9","6203"
"NQO1","1728"
"RBM10","8241"
"TRIM9","114088"
"RBM39","9584"
"ITSN2","50618"
"CSTB","1476"
"ABCB1","5243"
"PMP22","5376"
"PTN","5764"
"PIP4K2B","8396"
"EPHA7","2045"
"BRD8","10902"
"VPS45","11311"
"LDHA","3939"
"INPP4A","3631"
"PSMF1","9491"
"DOCK1","1793"
"SLCO1A2","6579"
"AGT","183"
"CAMK2D","817"
"GTF2F2","2963"
"APOD","347"
"GJA1","2697"
"NRCAM","4897"
"ARAF","369"
"TPM1","7168"
"KCNJ2","3759"
"PPIC","5480"
"RPL8","6132"
"USP9X","8239"
"MMD","23531"
"GBE1","2632"
"HIF1A","3091"
"DUSP1","1843"
"LTBP2","4053"
"MAN2A1","4124"
"CPNE1","8904"
"XPC","7508"
"TTC9","23508"
"CDKL5","6792"
"ALDH4A1","8659"
"JOSD1","9929"
"ACO2","50"
"CEBPG","1054"
"SART3","9733"
"ELK4","2005"
"RLF","6018"
"SNRPE","6635"
"NONO","4841"
"GCA","25801"
"SUPT5H","6829"
"RPL27","6155"
"AP3M2","10947"
"KHDRBS1","10657"
"PRNP","5621"
"MKNK1","8569"
"MGAT3","4248"
"COMMD1","150684"
"TIA1","7072"
"BCKDHB","594"
"IDH1","3417"
"DDX18","8886"
"FKBP5","2289"
"SDF2","6388"
"DYRK2","8445"
"OTUD4","54726"
"TPP2","7174"
"CDK7","1022"
"ZNF7","7553"
"SEC23B","10483"
"HOXB6","3216"
"CFLAR","8837"
"FGF2","2247"
"PLD1","5337"
"PGM1","5236"
"NAMPT","10135"
"PPP4R1","9989"
"NXF1","10482"
"PARG","8505"
"KPNA4","3840"
"RPL19","6143"
"HPCAL1","3241"
"ARHGAP5","394"
"EIF4A3","9775"
"AKAP12","9590"
"PEG3","5178"
"GAB1","2549"
"MYOM1","8736"
"NT5C2","22978"
"ZNF184","7738"
"RNASEL","6041"
"UBXN1","51035"
"KAT2B","8850"
"BTG2","7832"
"YIPF6","286451"
"OAZ1","4946"
"ESD","2098"
"SMAD5","4090"
"ILF2","3608"
"MFGE8","4240"
"SYPL1","6856"
"SRRM2","23524"
"ANP32A","8125"
"POU3F2","5454"
"PRMT2","3275"
"FGF12","2257"
"MAPK10","5602"
"SEC13","6396"
"PPP1CB","5500"
"NFKBIA","4792"
"TFRC","7037"
"MYH9","4627"
"SPCS2","9789"
"CSRP1","1465"
"TPM4","7171"
"ADD2","119"
"VASP","7408"
"DPM1","8813"
"ATP1B2","482"
"RPS21","6227"
"GLO1","2739"
"HAGH","3029"
"S100A10","6281"
"PPP1R2","5504"
"PSMA4","5685"
"LCP2","3937"
"COX8A","1351"
"RASGRF1","5923"
"PSMB4","5692"
"SMOX","54498"
"CCND3","896"
"HDAC1","3065"
"NDUFS1","4719"
"SP3","6670"
"ZMAT2","153527"
"CD81","975"
"NDUFA5","4698"
"MT1X","4501"
"ZNF75D","7626"
"TRAF6","7189"
"ARL6IP1","23204"
"NR1D2","9975"
"PRKCQ","5588"
"ACTR1A","10121"
"FERMT2","10979"
"SPTAN1","6709"
"PROX1","5629"
"MAOA","4128"
"CDC5L","988"
"TOB2","10766"
"BLVRB","645"
"RSU1","6251"
"ATP6AP1","537"
"MAP1A","4130"
"GPX3","2878"
"CCT4","10575"
"CCNG1","900"
"EFTUD2","9343"
"SERPINB6","5269"
"PDAP1","11333"
"ZNF136","7695"
"PHYHIP","9796"
"PRCC","5546"
"BPGM","669"
"TGFB3","7043"
"SUZ12","23512"
"RABGGTB","5876"
"IFI6","2537"
"KDSR","2531"
"TPM2","7169"
"PRMT1","3276"
"TTN","7273"
"CD63","967"
"TAF1B","9014"
"ZMYM3","9203"
"DCLRE1A","9937"
"STX4","6810"
"RING1","6015"
"BSG","682"
"FAT1","2195"
"RPN2","6185"
"HLA-C","3107"
"TERF2","7014"
"CTR9","9646"
"CBFB","865"
"PPP2R3A","5523"
"HIPK3","10114"
"EPS15","2060"
"MOG","4340"
"MAPRE3","22924"
"IFI44L","10964"
"EMD","2010"
"AHNAK","79026"
"VLDLR","7436"
"PRELP","5549"
"ADAM10","102"
"MPV17","4358"
