#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0007160	Cell-matrix adhesion	8	136	1.07	0.54	0.0099	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000264828,9606.ENSP00000310036,9606.ENSP00000379975,9606.ENSP00000380948,9606.ENSP00000407685,9606.ENSP00000452786	ITGB8,VTN,COL5A3,CD34,ILK,ITGB2,TNXB,ITGB3
GO Process	GO:0050896	Response to stimulus	63	7835	0.2	0.31	0.0116	9606.ENSP00000046794,9606.ENSP00000173229,9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000248594,9606.ENSP00000249330,9606.ENSP00000264637,9606.ENSP00000264832,9606.ENSP00000266041,9606.ENSP00000266254,9606.ENSP00000268182,9606.ENSP00000300060,9606.ENSP00000300648,9606.ENSP00000310036,9606.ENSP00000311469,9606.ENSP00000327323,9606.ENSP00000330737,9606.ENSP00000340019,9606.ENSP00000349577,9606.ENSP00000349748,9606.ENSP00000351646,9606.ENSP00000352071,9606.ENSP00000357055,9606.ENSP00000359258,9606.ENSP00000359497,9606.ENSP00000360141,9606.ENSP00000363017,9606.ENSP00000363868,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000369739,9606.ENSP00000370635,9606.ENSP00000371152,9606.ENSP00000373477,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000379038,9606.ENSP00000379845,9606.ENSP00000379975,9606.ENSP00000380948,9606.ENSP00000380958,9606.ENSP00000381340,9606.ENSP00000381581,9606.ENSP00000381601,9606.ENSP00000385035,9606.ENSP00000385451,9606.ENSP00000389631,9606.ENSP00000392147,9606.ENSP00000408526,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000417864,9606.ENSP00000424846,9606.ENSP00000436126,9606.ENSP00000450540,9606.ENSP00000452786,9606.ENSP00000480132,9606.ENSP00000482841,9606.ENSP00000497382,9606.ENSP00000498358	LCP2,NTN1,ITGB8,VTN,ATIC,C3,PTPN12,VGF,THRA,ICAM1,ITIH4,TTLL1,IQGAP1,ANPEP,GCN1,CD34,GSTM1,THNSL2,NDUFA12,HSPD1,PRODH,SFPQ,STIP1,CD163,PEA15,GCLM,GBP2,GNAS,RPA2,ABCA1,HLA-DRB5,HLA-C,CYBB,BPHL,SLC39A14,ASAH1,GPX3,CFI,HLA-DRA,TYMP,ABAT,ILK,ITGB2,MBP,GGT5,LCP1,MX1,C1S,MDK,ARPC1B,PPP6C,IMPA1,PTPRC,CFB,ANP32A,SH3BP2,SAA2,SERPINA3,ITGB3,NCAM1,CRABP2,CD53,FECH
GO Process	GO:0006955	Immune response	21	1321	0.5	0.4	0.0124	9606.ENSP00000046794,9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000245907,9606.ENSP00000264832,9606.ENSP00000266254,9606.ENSP00000340019,9606.ENSP00000349748,9606.ENSP00000359497,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000380958,9606.ENSP00000381581,9606.ENSP00000381601,9606.ENSP00000385035,9606.ENSP00000385451,9606.ENSP00000392147,9606.ENSP00000416561	LCP2,ITGB8,VTN,C3,ICAM1,TTLL1,HSPD1,SFPQ,GBP2,HLA-DRB5,HLA-C,CYBB,CFI,HLA-DRA,MBP,LCP1,MX1,C1S,MDK,PPP6C,CFB
GO Process	GO:0019752	Carboxylic acid metabolic process	16	819	0.59	0.42	0.0144	9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000311469,9606.ENSP00000314649,9606.ENSP00000327323,9606.ENSP00000349577,9606.ENSP00000350314,9606.ENSP00000359151,9606.ENSP00000359258,9606.ENSP00000365462,9606.ENSP00000369739,9606.ENSP00000371152,9606.ENSP00000379845,9606.ENSP00000381340,9606.ENSP00000407685,9606.ENSP00000482841	ATIC,C3,GSTM1,ALDH5A1,THNSL2,PRODH,BCO2,DBT,GCLM,PCCA,BPHL,ASAH1,ABAT,GGT5,TNXB,CRABP2
GO Process	GO:0033627	Cell adhesion mediated by integrin	5	42	1.37	0.53	0.0144	9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000264832,9606.ENSP00000380948,9606.ENSP00000452786	ITGB8,VTN,ICAM1,ITGB2,ITGB3
GO Process	GO:0044281	Small molecule metabolic process	23	1645	0.44	0.38	0.0145	9606.ENSP00000236959,9606.ENSP00000245907,9606.ENSP00000311469,9606.ENSP00000314649,9606.ENSP00000322706,9606.ENSP00000327323,9606.ENSP00000330737,9606.ENSP00000349577,9606.ENSP00000350314,9606.ENSP00000359151,9606.ENSP00000359258,9606.ENSP00000363868,9606.ENSP00000365462,9606.ENSP00000369739,9606.ENSP00000370635,9606.ENSP00000371152,9606.ENSP00000379038,9606.ENSP00000379845,9606.ENSP00000381340,9606.ENSP00000407685,9606.ENSP00000408526,9606.ENSP00000482841,9606.ENSP00000491537	ATIC,C3,GSTM1,ALDH5A1,HMGCS1,THNSL2,NDUFA12,PRODH,BCO2,DBT,GCLM,ABCA1,PCCA,BPHL,SLC39A14,ASAH1,TYMP,ABAT,GGT5,TNXB,IMPA1,CRABP2,FDFT1
GO Process	GO:0002376	Immune system process	26	2121	0.39	0.34	0.0213	9606.ENSP00000046794,9606.ENSP00000222573,9606.ENSP00000226218,9606.ENSP00000245907,9606.ENSP00000264637,9606.ENSP00000264832,9606.ENSP00000266254,9606.ENSP00000310036,9606.ENSP00000340019,9606.ENSP00000349748,9606.ENSP00000359497,9606.ENSP00000364114,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000372155,9606.ENSP00000378131,9606.ENSP00000378786,9606.ENSP00000380948,9606.ENSP00000380958,9606.ENSP00000381581,9606.ENSP00000381601,9606.ENSP00000385035,9606.ENSP00000385451,9606.ENSP00000392147,9606.ENSP00000411355,9606.ENSP00000416561	LCP2,ITGB8,VTN,C3,THRA,ICAM1,TTLL1,CD34,HSPD1,SFPQ,GBP2,HLA-DRB5,HLA-C,CYBB,PSME1,CFI,HLA-DRA,ITGB2,MBP,LCP1,MX1,C1S,MDK,PPP6C,PTPRC,CFB
GO Process	GO:0006520	Cellular amino acid metabolic process	9	290	0.79	0.4	0.0272	9606.ENSP00000314649,9606.ENSP00000327323,9606.ENSP00000349577,9606.ENSP00000359151,9606.ENSP00000359258,9606.ENSP00000365462,9606.ENSP00000369739,9606.ENSP00000379845,9606.ENSP00000381340	ALDH5A1,THNSL2,PRODH,DBT,GCLM,PCCA,BPHL,ABAT,GGT5
GO Process	GO:0006950	Response to stress	34	3358	0.3	0.29	0.0336	9606.ENSP00000245907,9606.ENSP00000249330,9606.ENSP00000264637,9606.ENSP00000266041,9606.ENSP00000300648,9606.ENSP00000310036,9606.ENSP00000311469,9606.ENSP00000330737,9606.ENSP00000340019,9606.ENSP00000349577,9606.ENSP00000349748,9606.ENSP00000352071,9606.ENSP00000359258,9606.ENSP00000359497,9606.ENSP00000360141,9606.ENSP00000363017,9606.ENSP00000363868,9606.ENSP00000365402,9606.ENSP00000367851,9606.ENSP00000373477,9606.ENSP00000378131,9606.ENSP00000379845,9606.ENSP00000379975,9606.ENSP00000380948,9606.ENSP00000381340,9606.ENSP00000381601,9606.ENSP00000385035,9606.ENSP00000385451,9606.ENSP00000392147,9606.ENSP00000411355,9606.ENSP00000416561,9606.ENSP00000436126,9606.ENSP00000450540,9606.ENSP00000452786	C3,VGF,THRA,ITIH4,GCN1,CD34,GSTM1,NDUFA12,HSPD1,PRODH,SFPQ,CD163,GCLM,GBP2,GNAS,RPA2,ABCA1,HLA-C,CYBB,GPX3,CFI,ABAT,ILK,ITGB2,GGT5,MX1,C1S,MDK,PPP6C,PTPRC,CFB,SAA2,SERPINA3,ITGB3
GO Process	GO:0045766	Positive regulation of angiogenesis	7	166	0.92	0.39	0.0336	9606.ENSP00000222573,9606.ENSP00000245907,9606.ENSP00000310036,9606.ENSP00000367851,9606.ENSP00000380948,9606.ENSP00000385451,9606.ENSP00000452786	ITGB8,C3,CD34,CYBB,ITGB2,MDK,ITGB3
