#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	HRG	9606.ENSP00000323929	9606.ENSP00000232003	0	0	0	0	0.197	0	0	0.716	0.762
A2M	TTR	9606.ENSP00000323929	9606.ENSP00000237014	0	0	0	0	0.133	0.069	0	0.892	0.905
A2M	ORM1	9606.ENSP00000323929	9606.ENSP00000259396	0	0	0	0	0.092	0	0	0.798	0.809
A2M	CP	9606.ENSP00000323929	9606.ENSP00000264613	0	0	0	0	0.122	0	0	0.879	0.889
A2M	HPX	9606.ENSP00000323929	9606.ENSP00000265983	0	0	0	0	0.130	0	0	0.806	0.824
A2M	AHSG	9606.ENSP00000323929	9606.ENSP00000273784	0	0	0	0	0.187	0	0	0.767	0.803
A2M	ORM2	9606.ENSP00000323929	9606.ENSP00000394936	0	0	0	0	0.087	0	0	0.798	0.808
A2M	SERPINA3	9606.ENSP00000323929	9606.ENSP00000450540	0	0	0	0	0.182	0	0	0.916	0.929
A2M	HP	9606.ENSP00000323929	9606.ENSP00000348170	0	0	0	0	0.124	0.123	0	0.997	0.997
ABCA1	NIPSNAP3B	9606.ENSP00000363868	9606.ENSP00000363894	0	0	0	0	0	0	0	0.715	0.715
AGBL3	C3	9606.ENSP00000388275	9606.ENSP00000245907	0	0	0	0	0	0	0	0.855	0.855
AHSG	HRG	9606.ENSP00000273784	9606.ENSP00000232003	0	0.005	0	0	0.436	0.100	0	0.863	0.924
AHSG	TTR	9606.ENSP00000273784	9606.ENSP00000237014	0	0	0	0	0.496	0	0	0.729	0.858
AHSG	C3	9606.ENSP00000273784	9606.ENSP00000245907	0	0	0	0	0.160	0	0	0.658	0.700
AHSG	ORM1	9606.ENSP00000273784	9606.ENSP00000259396	0	0	0	0	0.406	0	0	0.881	0.926
AHSG	CP	9606.ENSP00000273784	9606.ENSP00000264613	0	0	0	0	0.212	0	0	0.728	0.776
AHSG	HPX	9606.ENSP00000273784	9606.ENSP00000265983	0	0	0	0	0.679	0	0	0.639	0.879
AHSG	ITIH4	9606.ENSP00000273784	9606.ENSP00000266041	0	0	0	0	0.255	0.097	0	0.601	0.708
