#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	GABARAPL2	9606.ENSP00000494750	9606.ENSP00000037243	0	0	0	0	0.084	0.179	0	0.418	0.525
ACTB	PSMC4	9606.ENSP00000494750	9606.ENSP00000157812	0	0	0	0	0.128	0.094	0	0.323	0.418
ACTB	TNFRSF1A	9606.ENSP00000494750	9606.ENSP00000162749	0	0	0	0	0.072	0	0	0.507	0.523
ACTB	UQCRC1	9606.ENSP00000494750	9606.ENSP00000203407	0	0	0	0	0.138	0.162	0	0.262	0.420
ACTB	MAPK13	9606.ENSP00000494750	9606.ENSP00000211287	0	0	0	0	0.067	0.087	0	0.408	0.452
ACTB	MAPK12	9606.ENSP00000494750	9606.ENSP00000215659	0	0	0	0	0.067	0.087	0	0.413	0.456
ACTB	XBP1	9606.ENSP00000494750	9606.ENSP00000216037	0	0	0	0	0.047	0	0	0.632	0.634
ACTB	PSMA3	9606.ENSP00000494750	9606.ENSP00000216455	0	0	0	0	0.060	0.241	0	0.245	0.415
ACTB	TUBB1	9606.ENSP00000494750	9606.ENSP00000217133	0	0	0	0	0.060	0.129	0.400	0.266	0.591
ACTB	DCTN6	9606.ENSP00000494750	9606.ENSP00000221114	0	0	0	0	0.047	0.851	0	0.457	0.916
ACTB	PSMA2	9606.ENSP00000494750	9606.ENSP00000223321	0	0	0	0	0.058	0	0	0.510	0.519
ACTB	PFN1	9606.ENSP00000494750	9606.ENSP00000225655	0	0	0	0	0.485	0.972	0.900	0.992	0.999
ACTB	MAPK14	9606.ENSP00000494750	9606.ENSP00000229795	0	0	0	0	0.074	0.087	0	0.535	0.573
ACTB	TARDBP	9606.ENSP00000494750	9606.ENSP00000240185	0	0	0	0	0.068	0.190	0	0.426	0.529
ACTB	TUBA4A	9606.ENSP00000494750	9606.ENSP00000248437	0	0	0.201	0	0.063	0.136	0.400	0.618	0.825
ACTB	FUS	9606.ENSP00000494750	9606.ENSP00000254108	0	0	0	0	0.119	0.134	0	0.370	0.477
ACTB	ACTR10	9606.ENSP00000494750	9606.ENSP00000254286	0	0	0	0.701	0.074	0.946	0	0.772	0.987
ACTB	EIF2S1	9606.ENSP00000494750	9606.ENSP00000256383	0	0	0	0	0.057	0	0	0.590	0.598
ACTB	DCTN3	9606.ENSP00000494750	9606.ENSP00000259632	0	0	0	0	0.055	0.817	0	0.444	0.896
ACTB	TUBB2B	9606.ENSP00000494750	9606.ENSP00000259818	0	0	0	0	0.060	0.129	0.400	0.254	0.584
ACTB	ATP5F1B	9606.ENSP00000494750	9606.ENSP00000262030	0	0	0	0	0.190	0.204	0	0.483	0.638
ACTB	PIK3C3	9606.ENSP00000494750	9606.ENSP00000262039	0	0	0	0	0.042	0	0	0.447	0.448
ACTB	NDUFS3	9606.ENSP00000494750	9606.ENSP00000263774	0	0	0	0	0.061	0.162	0	0.322	0.420
ACTB	TUBB4A	9606.ENSP00000494750	9606.ENSP00000264071	0	0	0	0	0.063	0.129	0.400	0.642	0.801
ACTB	PSMD3	9606.ENSP00000494750	9606.ENSP00000264639	0	0	0	0	0.060	0.091	0	0.469	0.507
ACTB	SDHA	9606.ENSP00000494750	9606.ENSP00000264932	0	0	0	0	0.065	0	0	0.684	0.692
ACTB	NDUFA9	9606.ENSP00000494750	9606.ENSP00000266544	0	0	0	0	0.062	0	0	0.393	0.406
ACTB	UQCRC2	9606.ENSP00000494750	9606.ENSP00000268379	0	0	0	0	0.080	0.162	0	0.433	0.525
ACTB	TP53	9606.ENSP00000494750	9606.ENSP00000269305	0	0	0	0	0.077	0.223	0	0.845	0.879
ACTB	SOD1	9606.ENSP00000494750	9606.ENSP00000270142	0	0	0	0	0.066	0.134	0	0.611	0.658
ACTB	RAB5A	9606.ENSP00000494750	9606.ENSP00000273047	0	0.003	0	0	0.080	0.053	0	0.475	0.502
ACTB	SLC1A2	9606.ENSP00000494750	9606.ENSP00000278379	0	0	0	0	0	0	0	0.435	0.435
ACTB	NRG1	9606.ENSP00000494750	9606.ENSP00000287842	0	0	0	0	0.049	0.115	0	0.445	0.492
ACTB	ACTR1B	9606.ENSP00000494750	9606.ENSP00000289228	0	0	0.055	0.956	0.067	0.519	0	0.047	0.542
ACTB	GRIN2C	9606.ENSP00000494750	9606.ENSP00000293190	0	0	0	0	0	0.052	0	0.500	0.506
ACTB	BAX	9606.ENSP00000494750	9606.ENSP00000293288	0	0	0	0	0.060	0	0	0.603	0.611
ACTB	GRIA2	9606.ENSP00000494750	9606.ENSP00000296526	0	0	0	0	0	0	0	0.447	0.447
ACTB	NDUFB8	9606.ENSP00000494750	9606.ENSP00000299166	0	0	0	0	0.070	0	0	0.447	0.464
ACTB	DCTN5	9606.ENSP00000494750	9606.ENSP00000300087	0	0.023	0	0	0.049	0.873	0	0.406	0.922
ACTB	GABARAP	9606.ENSP00000494750	9606.ENSP00000306866	0	0	0	0	0.076	0.178	0	0.350	0.464
ACTB	EIF2AK3	9606.ENSP00000494750	9606.ENSP00000307235	0	0	0	0	0	0	0	0.772	0.772
ACTB	CYCS	9606.ENSP00000494750	9606.ENSP00000307786	0	0	0	0	0.066	0	0	0.867	0.871
ACTB	CASP3	9606.ENSP00000494750	9606.ENSP00000311032	0	0	0	0	0.042	0.095	0.900	0.893	0.989
ACTB	NEFH	9606.ENSP00000494750	9606.ENSP00000311997	0	0	0	0	0	0.103	0	0.359	0.400
ACTB	TUBA3E	9606.ENSP00000494750	9606.ENSP00000318197	0	0	0.200	0	0.056	0.136	0	0.382	0.543
ACTB	TUBB6	9606.ENSP00000494750	9606.ENSP00000318697	0	0	0	0	0.085	0.129	0.400	0.556	0.759
ACTB	TUBB3	9606.ENSP00000494750	9606.ENSP00000320295	0	0	0	0	0.086	0.129	0.400	0.503	0.731
ACTB	PFN4	9606.ENSP00000494750	9606.ENSP00000322170	0	0	0	0	0.054	0.402	0.900	0.988	0.999
ACTB	HSPA5	9606.ENSP00000494750	9606.ENSP00000324173	0	0	0	0	0.106	0.212	0	0.749	0.808
ACTB	ULK1	9606.ENSP00000494750	9606.ENSP00000324560	0	0	0	0	0.044	0.050	0	0.404	0.412
ACTB	TUBA3D	9606.ENSP00000494750	9606.ENSP00000326042	0	0	0	0	0.070	0.136	0.400	0.383	0.663
ACTB	NOS2	9606.ENSP00000494750	9606.ENSP00000327251	0	0	0	0	0	0.046	0	0.574	0.576
ACTB	TBK1	9606.ENSP00000494750	9606.ENSP00000329967	0	0	0	0	0.073	0.070	0	0.532	0.562
ACTB	CASP9	9606.ENSP00000494750	9606.ENSP00000330237	0	0	0	0	0	0.099	0	0.807	0.819
ACTB	GRIN2A	9606.ENSP00000494750	9606.ENSP00000332549	0	0	0	0	0	0.052	0	0.529	0.535
ACTB	TUBA8	9606.ENSP00000494750	9606.ENSP00000333326	0	0	0.209	0	0.056	0.136	0	0.385	0.550
ACTB	MAPK11	9606.ENSP00000494750	9606.ENSP00000333685	0	0	0	0	0.067	0.087	0	0.433	0.474
ACTB	ATF4	9606.ENSP00000494750	9606.ENSP00000336790	0	0	0	0	0.077	0	0	0.530	0.548
ACTB	TUBA1B	9606.ENSP00000494750	9606.ENSP00000336799	0	0	0.201	0	0.270	0.136	0	0.618	0.782
ACTB	TUBB	9606.ENSP00000494750	9606.ENSP00000339001	0	0	0	0	0.302	0.297	0	0.709	0.844
ACTB	TUBB4B	9606.ENSP00000494750	9606.ENSP00000341289	0	0	0	0	0.158	0.129	0.400	0.342	0.672
ACTB	HNRNPA1	9606.ENSP00000494750	9606.ENSP00000341826	0	0	0	0	0.319	0.330	0	0.404	0.704
ACTB	ERBB4	9606.ENSP00000494750	9606.ENSP00000342235	0	0	0	0	0	0	0	0.448	0.448
ACTB	MAP2K3	9606.ENSP00000494750	9606.ENSP00000345083	0	0	0	0	0.061	0	0	0.397	0.409
ACTB	HNRNPA2B1	9606.ENSP00000494750	9606.ENSP00000346694	0	0	0	0	0.232	0.251	0	0.380	0.613
ACTB	PFN3	9606.ENSP00000494750	9606.ENSP00000351379	0	0	0	0	0.054	0.330	0.900	0.987	0.999
ACTB	VCP	9606.ENSP00000494750	9606.ENSP00000351777	0	0	0	0	0.087	0.253	0	0.633	0.728
ACTB	MAP3K5	9606.ENSP00000494750	9606.ENSP00000351908	0	0	0	0	0	0	0	0.447	0.447
ACTB	MT-CO1	9606.ENSP00000494750	9606.ENSP00000354499	0	0	0	0	0.120	0	0	0.531	0.570
ACTB	MT-CYB	9606.ENSP00000494750	9606.ENSP00000354554	0	0	0	0	0.065	0	0	0.510	0.522
ACTB	MTOR	9606.ENSP00000494750	9606.ENSP00000354558	0	0.024	0	0	0.055	0.052	0	0.746	0.752
ACTB	GPX6	9606.ENSP00000494750	9606.ENSP00000354581	0	0	0	0	0	0	0	0.590	0.590
ACTB	GPX7	9606.ENSP00000494750	9606.ENSP00000354677	0	0	0	0	0	0	0	0.594	0.594
ACTB	MT-ND1	9606.ENSP00000494750	9606.ENSP00000354687	0	0	0	0	0.066	0	0	0.413	0.429
ACTB	DCTN1	9606.ENSP00000494750	9606.ENSP00000354791	0	0	0	0	0.056	0.865	0	0.792	0.971
ACTB	MT-CO2	9606.ENSP00000494750	9606.ENSP00000354876	0	0	0	0	0.060	0.162	0	0.487	0.560
ACTB	BECN1	9606.ENSP00000494750	9606.ENSP00000355231	0	0	0	0	0.060	0	0	0.780	0.785
ACTB	PRKN	9606.ENSP00000494750	9606.ENSP00000355865	0	0	0	0	0	0.484	0	0.462	0.711
ACTB	ATF6	9606.ENSP00000494750	9606.ENSP00000356919	0	0	0	0	0	0	0	0.627	0.627
ACTB	SDHC	9606.ENSP00000494750	9606.ENSP00000356953	0	0	0	0	0.049	0	0	0.765	0.766
ACTB	ACTR1A	9606.ENSP00000494750	9606.ENSP00000358921	0	0	0.054	0.956	0.146	0.936	0	0.608	0.977
