#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABAT	ALDH5A1	9606.ENSP00000379845	9606.ENSP00000314649	0.055	0	0	0	0.263	0.134	0.946	0.855	0.994
ABAT	DBT	9606.ENSP00000379845	9606.ENSP00000359151	0	0	0	0	0.042	0	0.800	0.235	0.840
ABAT	PCCA	9606.ENSP00000379845	9606.ENSP00000365462	0.041	0	0	0	0.049	0	0.800	0.136	0.821
ABCA1	HMGCS1	9606.ENSP00000363868	9606.ENSP00000322706	0	0	0	0	0	0	0	0.755	0.755
ANPEP	PTPRC	9606.ENSP00000300060	9606.ENSP00000411355	0	0	0	0	0.103	0	0	0.774	0.788
ANPEP	NCAM1	9606.ENSP00000300060	9606.ENSP00000480132	0	0	0	0	0	0	0	0.818	0.818
ANPEP	CD34	9606.ENSP00000300060	9606.ENSP00000310036	0	0	0	0	0	0	0	0.878	0.878
ANPEP	GCLM	9606.ENSP00000300060	9606.ENSP00000359258	0	0	0	0	0.088	0	0.914	0.106	0.924
ANPEP	GGT5	9606.ENSP00000300060	9606.ENSP00000381340	0	0	0	0	0.044	0	0.914	0.397	0.946
C1S	C3	9606.ENSP00000385035	9606.ENSP00000245907	0	0	0	0	0.434	0.288	0	0.791	0.908
C1S	CD163	9606.ENSP00000385035	9606.ENSP00000352071	0	0	0	0	0.137	0.113	0	0.644	0.703
C3	VTN	9606.ENSP00000245907	9606.ENSP00000226218	0	0	0	0	0.145	0	0	0.765	0.790
C3	ICAM1	9606.ENSP00000245907	9606.ENSP00000264832	0	0	0	0	0.169	0	0	0.660	0.705
C3	ITIH4	9606.ENSP00000245907	9606.ENSP00000266041	0	0	0	0	0.101	0.233	0	0.660	0.745
C3	CP	9606.ENSP00000245907	9606.ENSP00000264613	0	0	0	0	0.262	0	0	0.676	0.751
C3	ITGB2	9606.ENSP00000245907	9606.ENSP00000380948	0	0	0	0	0.074	0.292	0.900	0.980	0.998
C3	CFI	9606.ENSP00000245907	9606.ENSP00000378131	0	0	0	0	0.219	0.987	0.900	0.969	0.999
C3	CFB	9606.ENSP00000245907	9606.ENSP00000416561	0	0	0	0	0.374	0.987	0.900	0.999	0.999
CD163	PTPRC	9606.ENSP00000352071	9606.ENSP00000411355	0	0	0	0	0.186	0.069	0	0.807	0.841
CD34	ICAM1	9606.ENSP00000310036	9606.ENSP00000264832	0	0	0	0	0.083	0	0	0.837	0.844
CD34	NCAM1	9606.ENSP00000310036	9606.ENSP00000480132	0	0	0	0	0.050	0	0	0.820	0.821
CD34	PTPRC	9606.ENSP00000310036	9606.ENSP00000411355	0	0	0	0	0.064	0	0	0.917	0.919
CD53	LCP2	9606.ENSP00000497382	9606.ENSP00000046794	0	0	0	0	0.711	0	0	0.323	0.796
CD53	ITGB2	9606.ENSP00000497382	9606.ENSP00000380948	0	0	0	0	0.523	0	0	0.656	0.829
CD53	PTPRC	9606.ENSP00000497382	9606.ENSP00000411355	0	0	0	0	0.724	0.053	0	0.370	0.821
CFB	CFI	9606.ENSP00000416561	9606.ENSP00000378131	0	0	0	0	0.220	0	0.500	0.931	0.970
